class,DS,DU
7,494.26,5
4,585.7,6
1,1704.34,18
5,455.16,6
5,1537.31,12
5,1568.37,9
2,1025.54,6
7,1452.12,8
7,169.42,9
0,1635.43,9
5,1641.17,7
7,678.11,30
4,619.86,4
4,1936.49,14
1,2328.05,11
5,2840.51,40
1,2684.79,22
5,1428.58,9
7,852.03,11
0,914.95,6
4,1712.39,9
1,870.73,8
3,7175.74,53
2,1035.38,80
0,8689.37,76
7,2867.62,24
0,865.94,10
5,1735.53,17
5,3861.13,26
0,1721.92,11
1,522.23,5
0,1577.86,10
4,2631.4,20
5,1137.26,7
0,1261.83,11
0,1048.73,9
7,2177.8,13
3,1568.15,10
0,1410.81,13
3,3853.32,25
0,3214.19,29
5,7208.01,40
3,9689.81,77
3,1432.02,16
5,1915.99,13
5,1020.37,10
4,3549.39,22
0,914.75,7
5,1074.21,8
5,2051.94,13
5,1365.01,11
7,4052.63,19
4,1592.85,11
5,2009.39,16
4,3596.31,25
5,1331.54,12
1,2312.5,28
3,11393,81
7,2994.12,14
2,530.33,110
0,1016.71,10
1,1281.1,14
0,2348.9,15
0,3088.4,29
3,3581.32,29
3,1824.82,14
5,1640.68,18
7,570.77,4
5,1638.32,11
5,4320.9,23
0,4624.78,30
7,1813.44,11
4,1713.64,10
5,1601.77,8
5,2980.45,20
4,900.22,7
5,3045.91,15
6,2903.29,40
5,1021.12,14
5,2013.27,8
4,4316.89,22
3,1630.58,24
7,1065.23,5
5,985.84,7
3,1112.81,8
5,1030.73,9
5,1406.69,8
7,1844.07,18
3,619.61,13
4,1790.42,12
1,963,16
0,1635.29,10
4,745.6,10
2,2859.52,17
7,1758.22,9
5,2946.56,14
1,619.18,5
1,1306.9,9
7,915.08,6
5,3990.44,27
0,957.86,4
0,1891.8,19
2,1109.65,17
5,1789.95,15
3,3147.96,22
0,2333.52,18
5,3142.39,28
5,1969.62,14
0,1000.09,11
3,4024.09,31
0,4107.71,28
0,2046.38,13
1,1485.13,17
0,953.7,8
7,735.62,12
3,1682.56,15
2,4643.96,29
2,2837.21,13
4,1646.01,10
4,866,7
7,392.18,19
0,2452.08,18
7,7805.27,44
4,731.22,5
5,2101.01,14
5,2545.66,15
0,1127.05,5
3,2410.82,25
