class,DU,DS
7,61,1021.370691
7,11,1102.767778
4,13,1333.885156
4,6,799.192866
7,4,770.648527
5,5,660.98748
0,15,1112.826162
0,9,1172.517239
4,10,1560.419662
0,12,1053.321944
4,10,672.025984
3,14,781.939794
2,19,2637.305703
5,7,527.57609
0,7,931.825131
7,12,1784.179973
4,15,2181.589773
1,11,1347.04834
5,3,527.632711
5,10,864.673984
2,9,864.244064
0,14,794.357025
5,6,675.487381
0,10,1055.186791
0,11,1309.262179
7,9,907.225156
3,19,2690.357451
5,7,525.081308
4,19,2454.293894
3,2,482.628152
2,29,5325.386797
2,6,702.718656
5,9,1147.953256
0,9,1301.092226
5,25,3727.45908
0,8,582.508153
3,7,1270.729419
2,7,702.572173
0,5,146.149581
0,15,1711.336097
2,13,1706.162528
0,12,1206.561253
4,3,306.698488
0,7,582.460944
7,42,4449.78427
3,4,306.662126
3,9,864.514511
3,6,581.063431
3,17,2204.287856
5,14,2320.913646
5,33,4103.157465
2,5,440.71191
1,4,793.418277
0,2,396.672521
4,9,1405.935237
4,6,920.355426
0,15,1447.888167
3,9,1446.206488
5,3,440.950208
5,9,1550.44282
0,4,1164.786125
5,6,730.805637
5,9,877.264728
1,10,1150.060724
0,81,2750.136568
5,4,383.365951
7,9,1021.445964
4,4,613.265497
7,4,582.189285
3,8,1240.888136
0,22,2850.857909
7,23,2103.98676
3,3,527.709709
0,9,1144.997133
3,16,1406.003876
7,4,613.573078
3,7,672.465132
7,19,1965.470934
5,14,1461.47335
4,9,1002.397621
5,4,383.265897
3,35,3738.437409
5,15,1345.219301
1,6,691.969475
2,103,977.376774
4,12,2211.681476
4,4,582.466846
0,15,1245.352438
0,4,397.019029
4,5,505.674128
1,10,1680.235961
5,10,1293.721094
0,4,799.149552
7,10,1053.838074
4,19,2214.387837
7,28,5335.863039
0,30,3825.91842
5,3,440.708453
3,24,345.990744
3,4,346.004785
0,29,2800.997634
0,8,963.746225
0,14,1625.712735
7,6,1085.192899
5,21,1689.469089
7,5,438.679407
3,3,818.007087
3,10,1517.999677
1,4,584.807294
4,52,6184.42425
1,28,3344.0996
5,4,745.123048
4,7,488.808243
5,9,1008.629495
0,77,1184.852682
3,7,745.392309
5,12,1496.762841
4,28,3418.561476
0,24,2321.708294
5,19,3025.217852
5,52,8036.331283
2,16,1401.379275
1,12,1124.99823
5,11,1383.997858
4,9,877.356893
2,27,4190.533533
5,7,770.426456
3,5,793.372026
5,52,5375.671176
3,21,942.216017
2,63,5565.520335
7,5,489.037939
3,25,1864.079406
7,11,724.084401
0,31,1634.197064
7,9,864.709813
0,13,1022.948234
5,24,1234.020312
4,5,863.589051
7,13,941.815997
7,13,892.089776
7,46,1840.75276
5,7,672.026104
1,29,766.622372
7,28,4940.087025
3,3,345.980316
7,8,1070.17143
0,7,1243.069824
7,12,1352.188088
7,13,920.045121
0,80,1547.447072
5,16,1620.772379
5,11,1124.972415
5,7,613.27669
7,18,885.545994
5,35,650.821901
3,53,7586.401296
0,19,1541.986351
1,25,3182.378327
0,18,220.356819
3,21,892.087637
7,34,4446.204558
2,6,958.399291
3,6,831.951501
0,6,882.327928
7,15,1234.397308
4,6,488.739764
5,4,827.109217
7,8,1002.401179
4,15,1953.584586
7,8,1022.835864
0,12,1002.397562
2,25,2843.230421
0,39,2981.431529
5,23,3694.300509
3,4,623.581702
0,17,2254.312091
3,18,2629.132856
5,8,241.318091
3,4,691.987605
4,19,1900.711109
4,17,2449.802124
3,4,562.492623
7,28,1870.796004
1,8,1150.220585
0,9,1812.832401
0,7,584.522588
0,7,931.836234
7,24,2240.141114
3,15,2070.432081
7,19,958.638872
0,4,676.339743
5,18,2292.196444
7,19,220.313597
3,9,876.884011
7,11,964.601867
0,7,723.381759
0,19,2662.644998
5,51,5225.275849
2,23,1665.831061
5,13,1737.577934
5,11,1055.073489
0,5,827.161048
6,10,1228.043757
2,11,1404.743749
0,12,1968.602401
0,8,877.318497
5,8,1206.692579
2,45,6558.532784
4,11,1282.583196
5,12,1413.093997
1,6,958.569011
2,7,453.600539
0,8,1252.672037
7,5,892.089776
3,6,672.030513
0,3,306.555766
7,14,1389.972897
2,10,1148.085257
0,4,580.830591
4,3,146.191255
7,4,581.988263
0,9,1636.593437
1,18,1559.494467
5,12,1255.447023
5,6,702.552191
0,10,1011.243463
3,14,2314.637129
3,14,1679.168625
3,10,1185.426611
1,9,1037.983106
3,4,724.129164
5,3,582.006008
5,10,623.704282
0,9,907.234606
4,5,702.325613
0,17,1813.898245
0,11,582.48455
4,4,345.987344
7,8,918.859705
1,9,489.028171
7,6,650.945117
0,7,1432.680338
0,36,7279.393013
2,4,586.18306
3,8,692.017942
7,4,397.053632
5,6,220.50184
5,8,918.969191
1,8,1309.329794
3,10,1172.426044
2,10,1390.187448
5,6,941.94614
5,29,1356.6553
5,12,1523.77198
2,10,1437.976456
0,27,907.213408
2,11,965.705107
5,11,676.83039
5,4,582.443238
3,5,864.808248
3,7,881.340845
2,9,964.13164
7,15,691.984886
7,5,489.423333
2,9,864.708827
0,8,672.028925
4,4,438.567998
3,6,623.701676
4,7,146.208547
7,10,453.615156
0,27,3109.497459
5,9,1050.870642
5,9,724.1117
3,4,818.296545
7,8,1190.941714
7,137,731.151538
5,11,1490.838395
4,19,966.10383
5,20,1796.835429
5,2,306.289376
5,4,345.979635
0,9,623.706888
5,7,146.160486
5,74,4103.053456
5,6,1164.183509
4,7,675.723294
5,10,1333.883538
4,23,3176.285763
7,38,1383.94439
5,19,650.557009
3,24,146.227109
4,19,2593.797804
7,14,1124.988727
1,4,482.675573
7,14,1338.41896
3,10,1085.207044
4,19,2211.240864
5,11,1383.936229
5,11,1098.487815
3,17,1965.641013
0,26,1053.563624
1,12,1229.684292
2,4,581.051184
0,11,1796.855437
3,8,864.594286
3,24,3703.232229
3,37,4673.026122
0,57,453.619449
3,44,6766.712318
1,87,15501.88968
0,14,1466.189936
4,3,438.652528
3,37,4556.914959
0,5,613.489239
5,23,3548.982232
4,5,827.035074
7,5,482.629612
4,5,744.809563
1,7,675.834232
0,9,1055.076637
5,7,977.249512
2,8,562.500429
5,19,2505.530277
3,13,1677.522749
5,11,1607.906413
7,12,1240.767561
3,12,1822.625266
5,20,3583.655014
3,8,702.598813
3,10,1051.051948
4,10,1356.144242
0,47,6062.465592
0,6,794.041903
5,5,525.190315
3,14,1586.219579
1,5,306.297799
4,37,818.469343
7,12,910.456507
5,20,1294.113312
5,9,723.631601
4,4,676.768251
0,6,886.627508
0,15,1490.665694
5,13,1461.262782
5,9,1101.542039
2,15,1762.598694
5,5,864.622522
6,9,489.359974
0,6,907.231743
0,14,1543.392145
4,17,2174.409841
7,13,1497.379143
2,4,650.945117
7,9,801.103323
1,11,799.147384
5,13,1823.004142
2,10,1309.184602
7,7,675.424896
7,9,964.729986
7,11,1293.877399
0,28,2976.122917
3,6,505.907397
1,30,3069.343255
4,20,306.435275
5,7,1002.401713
2,7,910.643233
0,60,361.752182
3,90,438.541084
5,39,3912.486037
5,54,650.970472
0,22,1277.682033
3,15,2240.141114
7,12,1255.907592
2,30,3913.649944
1,8,1282.784422
1,17,1845.231321
5,49,1404.504523
