ID,EX,EY,geohash,class
183,121.448,31.184,wtw37sgezwbm,5
184,121.525,31.211,wtw3t3gc38pg,5
185,121.475,31.2,wtw3kpz3htt1,5
186,121.471,31.232,wtw3sjs7x6y2,5
187,121.421,31.154,wtw35p2j4qe8,5
188,121.448,31.296,wtw65978rt0r,5
189,121.498,31.267,wtw3ugbpkx70,5
190,121.42,31.211,wtw3dcz37045,1
191,121.525,31.331,wtw6jreu39xy,3
192,121.49,31.252,wtw3u96245jc,4
193,121.459,31.247,wtw3gb7dzyfx,3
194,121.422,31.215,wtw3e48b99tr,2
195,121.464,31.183,wtw37uxqhkdb,0
196,121.49,31.276,wtw3utd7fhvz,7
197,121.534,31.321,wtw6jtf653wd,5
198,121.455,31.329,wtw65z2bdsgu,4
199,121.465,31.247,wtw3u024gwux,0
200,121.324,31.244,wtw38zc3qper,7
201,121.374,31.308,wtw61gmy74jy,3
202,121.493,31.315,wtw6hssx054g,5
203,121.444,31.173,wtw37dbgfk3u,1
204,121.522,31.315,wtw6jk9x5g4g,3
205,121.421,31.27,wtw3gh80fq7x,0
206,121.464,31.2,wtw37zz3hmdc,3
207,121.41,31.308,wtw64g2n641w,5
208,121.418,31.264,wtw3fgmyh2nb,4
209,121.551,31.29,wtw6jbntrwfb,7
210,121.438,31.167,wtw373u2ymzu,5
211,121.403,31.285,wtw3fx6bqfty,0
212,121.363,31.247,wtw3c8mffygz,0
213,121.462,31.257,wtw3gfjvjxpe,7
214,121.483,31.208,wtw3s3jpz0f7,3
215,121.532,31.308,wtw6je2ykf5q,5
216,121.412,31.164,wtw36c1x2wsv,2
217,121.445,31.179,wtw37ecwcdg7,7
218,121.548,31.288,wtw3vzu9c9vv,5
219,121.49,31.316,wtw6hsfkfjtb,5
220,121.478,31.299,wtw6h3c9fs6p,3
221,121.4,31.111,wtw2fx8f9n8z,5
222,121.43,31.203,wtw3e0qdshf9,1
223,121.349,31.31,wtw617g9uxh9,2
224,121.463,31.254,wtw3gcwetpch,2
225,121.49,31.318,wtw6ht62d4mf,3
226,121.417,31.261,wtw3ffvht0v0,4
227,121.527,31.255,wtw3v3v38671,3
228,121.397,31.268,wtw3fknt71sj,5
229,121.409,31.216,wtw3ddxq6spv,3
230,121.448,31.192,wtw37w7dxd0r,7
231,121.382,31.172,wtw364ewj9gn,7
232,121.391,31.203,wtw3d264xkf1,4
233,121.431,31.151,wtw35nz7erk3,4
234,121.37,31.176,wtw33g6vmgx7,7
235,121.546,31.306,wtw6jg54ej6k,5
236,121.437,31.294,wtw652gsz0qj,0
237,121.437,31.134,wtw357g8xnq0,0
238,121.415,31.218,wtw3dg5dn8cz,4
239,121.452,31.279,wtw3gwntkspn,0
240,121.489,31.294,wtw6h8csfbkj,4
241,121.439,31.297,wtw653mnjz9t,3
242,121.504,31.34,wtw6kck88rmn,2
243,121.339,31.255,wtw3c1u3edk1,5
244,121.531,31.323,wtw6jw0jtw3t,0
245,121.452,31.235,wtw3ewnthdp0,7
246,121.521,31.308,wtw6j72ykd1n,4
247,121.413,31.186,wtw36v4pxgy2,1
248,121.416,31.219,wtw3dghrvg7k,5
249,121.43,31.208,wtw3e1nxu0fe,5
250,121.469,31.271,wtw3uhenbbgh,2
251,121.391,31.156,wtw34rf0z765,0
252,121.524,31.314,wtw6jke162wj,5
253,121.578,31.242,wtw3wx6mudzm,0
254,121.377,31.272,wtw3fhbh956f,0
255,121.38,31.222,wtw3d5f1qfxu,7
256,121.376,31.232,wtw39vx79fc2,3
257,121.532,31.313,wtw6js2gky72,5
258,121.467,31.262,wtw3u51d65pv,4
259,121.397,31.321,wtw64myd51s4,3
260,121.533,31.275,wtw3vt3wh4sc,2
261,121.415,31.244,wtw3dzg9qx9z,2
262,121.509,31.289,wtw3vpbpsum7,5
263,121.389,31.32,wtw64m8u0xnv,0
264,121.523,31.293,wtw6j2dqgnh2,5
265,121.436,31.195,wtw37qfupckx,0
266,121.349,31.221,wtw397ees8hx,3
267,121.397,31.266,wtw3f7y9ehu4,2
268,121.503,31.285,wtw3uz7b34eq,0
269,121.638,31.263,wtw3zgq04vde,0
270,121.485,31.291,wtw6h2qem9jt,2
271,121.531,31.323,wtw6jw0jtw3t,0
272,121.453,31.186,wtw37tprs5b8,4
273,121.488,31.202,wtw3s80ugd6e,0
274,121.394,31.249,wtw3f2sqt5z1,7
275,121.474,31.198,wtw3kpqtt2er,3
276,121.475,31.304,wtw6h4xrh8t1,3
277,121.439,31.214,wtw3e6m4tz3d,3
278,121.455,31.153,wtw35z0z6s5g,3
279,121.517,31.252,wtw3v1mbp749,5
280,121.452,31.275,wtw3gtqwhdx1,5
281,121.483,31.29,wtw6h2jjrnf2,2
282,121.451,31.278,wtw3gtvzt3v3,1
283,121.549,31.288,wtw3vzv3bczm,0
284,121.491,31.231,wtw3st7jc2re,4
285,121.419,31.156,wtw34zy8gg27,4
286,121.401,31.133,wtw34e9db7fd,0
287,121.508,31.312,wtw6hupmtege,3
288,121.421,31.219,wtw3e50pf77s,5
289,121.485,31.302,wtw6h6qemetx,5
290,121.574,31.215,wtw3w6x2x98z,0
