ID,EX,EY,geohash
250,121.421,31.195,wtw37nbh437x
251,121.403,31.168,wtw369fyybmf
252,121.441,31.331,wtw65rwsk3sy
253,121.522,31.324,wtw6jq3eebff
254,121.392,31.307,wtw6476bqxgc
256,121.509,31.297,wtw6j12nhztm
257,121.489,31.294,wtw6h8csfbkj
258,121.351,31.256,wtw3c3vp7hxy
259,121.467,31.27,wtw3uh98fnrz
260,121.391,31.269,wtw3fk65pk44
261,121.538,31.291,wtw6j8m729jm
262,121.429,31.275,wtw3gjmyhf8c
263,121.545,31.275,wtw3vv6q5f8c
264,121.354,31.285,wtw3crr234sy
265,121.533,31.331,wtw6jx9sk1sy
266,121.505,31.285,wtw3uzm0rdww
267,121.406,31.142,wtw34tjpkcdf
268,121.438,31.279,wtw3gqhmqkpy
269,121.458,31.259,wtw3gfe0beby
270,121.407,31.133,wtw34etfu5ud
271,121.442,31.281,wtw3gqx359n3
273,121.441,31.214,wtw3e6qdsrkf
274,121.374,31.234,wtw39vvz5ptg
275,121.452,31.247,wtw3g8qduwzp
276,121.484,31.319,wtw6hmmyqkgb
277,121.459,31.249,wtw3gbewxgf9
278,121.404,31.21,wtw3d9eeqjxt
279,121.448,31.198,wtw37x7tx88r
280,121.467,31.252,wtw3u13845pc
281,121.476,31.238,wtw3sq8necq8
282,121.405,31.164,wtw369hrmw9m
283,121.482,31.32,wtw6hmskpz0t
284,121.441,31.282,wtw3gqwwu7ky
285,121.415,31.244,wtw3dzg9qx9z
286,121.531,31.322,wtw6jtbpvecx
287,121.435,31.178,wtw377f3086y
288,121.425,31.172,wtw374dyp9fq
289,121.342,31.252,wtw3c1q81e11
290,121.516,31.288,wtw3vpv3b1bv
291,121.532,31.26,wtw3vd8ysy77
292,121.504,31.285,wtw3uzk826tn
293,121.499,31.29,wtw6hb0v7yu8
294,121.527,31.329,wtw6jrm28kgh
295,121.512,31.28,wtw3vn674ydh
296,121.452,31.298,wtw659wshdp4
297,121.52,31.308,wtw6j72nm4pq
298,121.523,31.263,wtw3v7625js7
299,121.485,31.302,wtw6h6qemetx
300,121.416,31.293,wtw64bsqvy52
301,121.533,31.217,wtw3tdcshnsf
302,121.502,31.351,wtw6kg70cccx
303,121.366,31.124,wtw31cbn2y0g
304,121.484,31.276,wtw3umtgykgz
305,121.512,31.259,wtw3v4d2fgfn
306,121.468,31.244,wtw3spf33x9r
307,121.395,31.173,wtw366v5us2s
308,121.434,31.115,wtw3523d123h
309,121.347,31.267,wtw3c7fpqp32
310,121.466,31.267,wtw3u5bz6zq0
311,121.459,31.229,wtw3ev5dpgd9
312,121.546,31.306,wtw6jg54ej6k
313,121.441,31.281,wtw3gqw9h3hc
314,121.5,31.249,wtw3ub9we5y3
315,121.458,31.26,wtw3gfen8w2g
316,121.458,31.244,wtw3ezg12x8z
317,121.421,31.234,wtw3ejbp4ree
318,121.452,31.298,wtw659wshdp4
319,121.38,31.234,wtw3djfpnzxg
320,121.525,31.263,wtw3v77b1txg
321,121.442,31.21,wtw3e3x77twm
322,121.514,31.216,wtw3t4ey3kjt
323,121.502,31.252,wtw3uc701g19
324,121.493,31.291,wtw6h8ke214v
325,121.45,31.283,wtw3gwvhwjge
326,121.432,31.25,wtw3g2bh6wjz
327,121.516,31.319,wtw6jjmq2hbb
328,121.395,31.256,wtw3f3vpks8w
329,121.35,31.281,wtw3cqs35cn3
330,121.438,31.209,wtw3e3kmw7rb
331,121.453,31.238,wtw3ewxqs128
332,121.351,31.23,wtw39mjpgjzy
333,121.391,31.233,wtw3dmf1rm4n
334,121.404,31.248,wtw3f8e8y1rs
335,121.532,31.26,wtw3vd8ysy77
336,121.391,31.233,wtw3dmf1rm4n
337,121.506,31.329,wtw6hzmbxhbk
338,121.521,31.28,wtw3vq2ghw9h
339,121.52,31.297,wtw6j32njpxm
340,121.426,31.231,wtw3ej7tybk5
341,121.359,31.226,wtw39sdbtsm1
342,121.441,31.173,wtw376yeukku
343,121.334,31.242,wtw39p2tz4gv
344,121.441,31.153,wtw35rnxkkhg
345,121.484,31.32,wtw6hmtunr5v
346,121.482,31.202,wtw3s2hkzf2e
347,121.439,31.277,wtw3gmv1tz3s
348,121.425,31.261,wtw3g4fux8f2
349,121.544,31.274,wtw3vv38k2ph
350,121.456,31.393,wtw6efct3zme
351,121.501,31.261,wtw3uffkd8b0
352,121.491,31.289,wtw3uxgp9kre
353,121.51,31.306,wtw6j50fsjqu
354,121.433,31.249,wtw3g28y9gz9
355,121.485,31.291,wtw6h2qem9jt
356,121.546,31.312,wtw6ju5je5f7
357,121.492,31.231,wtw3st7vbb35
358,121.463,31.157,wtw35zywtjc0
359,121.485,31.249,wtw3u2wwtev9
360,121.476,31.291,wtw6h2257cnt
361,121.507,31.308,wtw6hgqwq61y
362,121.445,31.198,wtw37x3t98er
363,121.447,31.318,wtw65t7084qd
364,121.512,31.262,wtw3v5466g4j
365,121.483,31.255,wtw3u3v1x463
366,121.402,31.203,wtw3d864xsu3
367,121.489,31.294,wtw6h8csfbkj
368,121.443,31.17,wtw37d247j0h
369,121.425,31.183,wtw37hdypsd2
370,121.508,31.268,wtw3uupmm9et
371,121.498,31.216,wtw3sf8nks5j
372,121.512,31.305,wtw6j4fkfffn
373,121.339,31.149,wtw31ns25dkn
374,121.482,31.203,wtw3s2k6xub9
375,121.403,31.208,wtw3d94zybvg
376,121.44,31.257,wtw3g6jvjp55
378,121.466,31.266,wtw3u5bcduy4
379,121.446,31.175,wtw37e4r8cjn
380,121.506,31.264,wtw3ugmyp002
381,121.406,31.294,wtw648vhub6v
382,121.449,31.187,wtw37tkmqy4j
383,121.439,31.249,wtw3g2tntgc9
384,121.506,31.329,wtw6hzmbxhbk
385,121.483,31.254,wtw3u3t5xpfk
386,121.417,31.239,wtw3dyvhm5tj
387,121.47,31.209,wtw3s17v85kb
388,121.513,31.273,wtw3vj546jez
389,121.508,31.254,wtw3ucx7txgs
390,121.542,31.27,wtw3vu80vy7z
391,121.371,31.186,wtw33v5xt7c0
392,121.362,31.231,wtw39tmjg865
393,121.549,31.307,wtw6jgm22zz3
394,121.463,31.219,wtw3egnxv53h
395,121.384,31.175,wtw365jps1nw
396,121.419,31.275,wtw3fvqw5f83
397,121.431,31.168,wtw371zqg2k6
398,121.403,31.171,wtw36ddbnztc
399,121.454,31.233,wtw3evb17m4q
400,121.516,31.26,wtw3v4tq8n2g
401,121.451,31.158,wtw378jut2jm
402,121.4,31.261,wtw3fdbu90bb
403,121.476,31.239,wtw3sqbh7gwt
404,121.396,31.163,wtw363jceu4r
405,121.448,31.268,wtw3gs5tr98m
406,121.461,31.249,wtw3gbtnw7vc
407,121.414,31.218,wtw3dg4fp2bp
408,121.528,31.279,wtw3vqjvrshw
409,121.528,31.309,wtw6j7tupsse
410,121.446,31.193,wtw37wd22uth
411,121.529,31.285,wtw3vrq8qfwq
412,121.528,31.278,wtw3vmvzx9u9
413,121.433,31.251,wtw3g30f3bxs
414,121.328,31.249,wtw3bbsqe7cc
415,121.501,31.286,wtw3uz6q4t05
416,121.348,31.155,wtw31rdgj2fy
417,121.431,31.216,wtw3e4xq7khm
418,121.495,31.294,wtw6h8vuy8qj
419,121.532,31.323,wtw6jw0vsy7m
420,121.453,31.298,wtw659xkh40d
421,121.429,31.209,wtw3e1mvsg2b
422,121.485,31.306,wtw6h7ndttms
423,121.458,31.168,wtw37cgnb82f
424,121.46,31.23,wtw3evhrzjun
425,121.451,31.205,wtw3e8tym3t7
426,121.527,31.309,wtw6j7tk0ke5
427,121.47,31.201,wtw3kpgybpuy
428,121.45,31.205,wtw3e8tnq1ee
429,121.432,31.338,wtw672bj4dtg
430,121.533,31.295,wtw6j91ds4uf
431,121.473,31.193,wtw3kntbqh9s
432,121.436,31.194,wtw37qdypzhd
433,121.425,31.179,wtw375fyzdf7
434,121.498,31.358,wtw6ku81sdgh
435,121.37,31.208,wtw39c4zvbz7
436,121.461,31.233,wtw3evv1qmjy
437,121.423,31.199,wtw37p9e2gph
438,121.383,31.175,wtw365hrschy
439,121.522,31.305,wtw6j6csgffy
440,121.483,31.256,wtw3u3vprhdq
441,121.507,31.313,wtw6huqeqq3b
442,121.402,31.174,wtw36e41xwu3
443,121.441,31.331,wtw65rwsk3sy
444,121.502,31.286,wtw3uz7n1v1e
445,121.519,31.301,wtw6j4pmtcmc
446,121.6,31.202,wtw3x04kv67g
447,121.366,31.237,wtw39y808ybg
448,121.402,31.165,wtw3696jr9h6
449,121.542,31.264,wtw3vg2njb5b
450,121.443,31.239,wtw3ewbh758j
451,121.49,31.274,wtw3ut6260ju
452,121.436,31.137,wtw35k6fpvkx
453,121.424,31.179,wtw375fqb6be
454,121.555,31.28,wtw3yn3ehy9k
455,121.399,31.105,wtw2fw2pc8r2
456,121.406,31.136,wtw34sjhkg4f
458,121.536,31.27,wtw3vsebfn3z
459,121.379,31.194,wtw36n9qpxn6
460,121.41,31.242,wtw3dz2jf4ct
461,121.526,31.287,wtw3vrsecp92
462,121.446,31.266,wtw3gef38uv4
463,121.41,31.222,wtw3dgb1649s
464,121.458,31.334,wtw67b5jb8by
465,121.438,31.216,wtw3e6sqqkpv
466,121.426,31.253,wtw3g17tyvkn
467,121.466,31.197,wtw3kp0zdyq1
468,121.449,31.188,wtw37ts7qbd4
469,121.429,31.209,wtw3e1mvsg2b
470,121.422,31.274,wtw3gj2b38jk
471,121.444,31.289,wtw3gxbzdk3g
472,121.49,31.292,wtw6h8d345tf
473,121.534,31.29,wtw6j84m7qy8
474,121.403,31.164,wtw3694zqytv
475,121.482,31.201,wtw3kruqzzbw
476,121.453,31.245,wtw3exzrk40s
477,121.537,31.264,wtw3vekw1258
478,121.442,31.191,wtw37qpkexy6
479,121.412,31.156,wtw34zc8bekg
480,121.393,31.132,wtw3477tjcmm
481,121.404,31.165,wtw3697tq1pd
482,121.353,31.22,wtw397qt9vg6
483,121.423,31.268,wtw3gh1t2cxj
484,121.406,31.275,wtw3ftmnhfdc
485,121.524,31.309,wtw6j7eh4kw5
486,121.373,31.232,wtw39vt5efu2
487,121.458,31.267,wtw3gggp2x2b
488,121.448,31.297,wtw6597wpx8m
489,121.451,31.205,wtw3e8tym3t7
490,121.486,31.216,wtw3s6xqkupj
491,121.427,31.229,wtw3ejh6n5t9
492,121.374,31.177,wtw33gtg5njc
493,121.439,31.155,wtw35rt5jbcw
494,121.502,31.172,wtw3kfen1ccw
495,121.42,31.201,wtw36zzqgpfn
496,121.532,31.259,wtw3vd8buggq
497,121.438,31.176,wtw377kmq7xg
498,121.478,31.239,wtw3sqcs6edj
499,121.403,31.164,wtw3694zqytv
500,121.488,31.229,wtw3st0f5ed9
501,121.44,31.228,wtw3ekvum155
502,121.493,31.251,wtw3u9hd20du
503,121.482,31.202,wtw3s2hkzf2e
504,121.444,31.221,wtw3ee8gd21z
505,121.45,31.236,wtw3ewm4yh7t
506,121.501,31.261,wtw3uffkd8b0
507,121.55,31.271,wtw3vuwnb2ch
508,121.473,31.214,wtw3s4mfwp3d
509,121.366,31.256,wtw3ccbp2u8y
510,121.452,31.281,wtw3gww9h9p1
511,121.53,31.263,wtw3v7r2nm85
512,121.499,31.208,wtw3sc0zgbue
513,121.438,31.34,wtw673k2wrry
514,121.453,31.279,wtw3gwpmkh0w
515,121.547,31.264,wtw3vg7y42h0
516,121.443,31.24,wtw3ex045n04
517,121.459,31.195,wtw37ygspc6x
518,121.459,31.205,wtw3ebewrcde
519,121.478,31.307,wtw6h7386xf1
520,121.426,31.241,wtw3ep78nbs0
521,121.439,31.206,wtw3e2vhju18
522,121.484,31.303,wtw6h6tcnq5u
523,121.447,31.161,wtw378ejbpqt
524,121.473,31.237,wtw3sntbwnce
525,121.347,31.137,wtw31k64nj3r
526,121.466,31.297,wtw6h12y4zwj
527,121.31,31.215,wtw386x0xcsp
528,121.531,31.306,wtw6je04tt3s
529,121.544,31.232,wtw3tv9es6z0
530,121.356,31.171,wtw33d88pz81
531,121.351,31.149,wtw31qt054ry
532,121.488,31.202,wtw3s80ugd6e
533,121.467,31.263,wtw3u5384jxg
534,121.473,31.294,wtw6h0vuy03t
535,121.441,31.368,wtw67qqeu7hb
536,121.399,31.131,wtw34e0p1xp2
537,121.444,31.17,wtw37d2f6m1u
538,121.423,31.254,wtw3g19e8zzh
539,121.524,31.324,wtw6jq75d2y4
540,121.508,31.263,wtw3ugr2jtee
541,121.431,31.336,wtw670x37mu3
542,121.46,31.26,wtw3gfsqxnk5
544,121.388,31.186,wtw36m0p97v0
545,121.455,31.196,wtw37z0cfegu
546,121.39,31.209,wtw3d33t8522
547,121.514,31.274,wtw3vj7b32js
548,121.519,31.237,wtw3tnx2tyvg
549,121.488,31.267,wtw3uebz7x68
550,121.381,31.232,wtw3djdgw6c8
551,121.367,31.219,wtw39g0zb56k
552,121.457,31.225,wtw3eu66c1zk
553,121.535,31.293,wtw6j8enfy02
554,121.421,31.284,wtw3gp04d279
555,121.32,31.24,wtw38xnd0yhd
556,121.477,31.291,wtw6h22g730m
557,121.424,31.179,wtw375fqb6be
558,121.467,31.304,wtw6h49x40xc
559,121.538,31.313,wtw6jsm72wm2
560,121.35,31.281,wtw3cqs35cn3
561,121.424,31.186,wtw37j4r87b8
562,121.507,31.257,wtw3ufntnr1g
563,121.397,31.251,wtw3f3nd70sh
564,121.537,31.264,wtw3vekw1258
565,121.409,31.185,wtw36tp3f9rg
566,121.489,31.233,wtw3stc96vhn
567,121.515,31.303,wtw6j4s90wph
568,121.416,31.215,wtw3dfs2tcer
569,121.491,31.248,wtw3u8e0c3rs
570,121.449,31.219,wtw3eehryg6h
571,121.496,31.311,wtw6heyxvcry
572,121.505,31.283,wtw3uyvhxtye
573,121.49,31.34,wtw6k962dpmy
574,121.52,31.312,wtw6jk0jt5z7
575,121.498,31.272,wtw3uubhse74
576,121.529,31.274,wtw3vmq8qbnk
577,121.536,31.259,wtw3vdebf5cy
578,121.473,31.268,wtw3uhjvq19t
579,121.502,31.309,wtw6hgeh1u9e
580,121.479,31.265,wtw3u7d7cf7t
581,121.492,31.263,wtw3ue7b0v95
582,121.542,31.218,wtw3tg04jbgz
583,121.452,31.171,wtw37dw8hxx1
584,121.354,31.223,wtw397zr1jhc
586,121.422,31.277,wtw3gjbc9xmk
587,121.479,31.212,wtw3s3fr1fe8
588,121.382,31.171,wtw364e8jxe1
589,121.416,31.141,wtw34vh3mz5k
590,121.536,31.289,wtw3vxgzdh3g
591,121.479,31.266,wtw3u7f39ugd
592,121.429,31.333,wtw65pvzuy8c
593,121.443,31.156,wtw35xb0g525
594,121.471,31.199,wtw3kps7r7nk
595,121.47,31.204,wtw3s0eb2phy
596,121.499,31.221,wtw3sg8gebhx
597,121.486,31.246,wtw3u2pmhux4
598,121.498,31.217,wtw3sfbhhwe4
599,121.358,31.244,wtw39xf1qrex
600,121.509,31.281,wtw3vn81hcj3
601,121.465,31.267,wtw3u5bp7xk8
602,121.447,31.248,wtw3g8e0b1qs
603,121.438,31.192,wtw37qk6w6pz
604,121.418,31.18,wtw36ujusmqb
605,121.437,31.295,wtw6535dx4y4
606,121.388,31.214,wtw3d6249rm4
607,121.475,31.323,wtw6hnpmswmj
608,121.408,31.163,wtw369n9eknp
609,121.48,31.279,wtw3uq5j3hjq
610,121.507,31.279,wtw3uyntqk1y
611,121.419,31.192,wtw36yqdef0r
612,121.452,31.278,wtw3gtyxs9z1
613,121.447,31.214,wtw3ed748pqd
614,121.402,31.132,wtw34e6jp9km
615,121.442,31.282,wtw3gqxqgeqq
616,121.439,31.214,wtw3e6m4tz3d
617,121.473,31.223,wtw3s5vznj19
618,121.431,31.203,wtw3e0r6eku3
619,121.459,31.333,wtw65zgxzyd9
620,121.453,31.201,wtw37xzqupbw
621,121.626,31.26,wtw3zdtqenqg
622,121.439,31.277,wtw3gmv1tz3s
623,121.421,31.152,wtw35p01d3ew
624,121.537,31.328,wtw6jxhdc67x
625,121.483,31.206,wtw3s2vhph42
626,121.451,31.208,wtw3e9jzv2v7
627,121.427,31.182,wtw37hs2q4je
628,121.534,31.212,wtw3t9fr56w8
629,121.474,31.328,wtw6hpndv67r
630,121.476,31.305,wtw6h6bhgfyw
631,121.524,31.193,wtw3mqe06kwh
632,121.526,31.309,wtw6j7ss1h97
633,121.49,31.248,wtw3u8d2f1mu
634,121.35,31.136,wtw31khk7gn6
635,121.522,31.261,wtw3v6csebfb
636,121.442,31.187,wtw37mrm7wnm
637,121.463,31.203,wtw3ebqdthc1
638,121.454,31.214,wtw3ef24er66
639,121.429,31.21,wtw3e1tgkv8v
640,121.472,31.192,wtw3knm4wf0p
641,121.518,31.275,wtw3vjqwnds1
642,121.436,31.224,wtw3ek4uzzkx
643,121.46,31.22,wtw3egkmxju4
644,121.47,31.21,wtw3s1eg2jsv
645,121.396,31.229,wtw3dmjf5gd3
646,121.544,31.293,wtw6jb9wuqp0
647,121.535,31.26,wtw3vdendy27
648,121.412,31.124,wtw34ccw2whg
649,121.402,31.234,wtw3dtfppxs7
650,121.48,31.274,wtw3um7030jk
651,121.538,31.264,wtw3vemq08j2
652,121.446,31.182,wtw37sd22fj5
653,121.464,31.193,wtw37yx2kkdu
654,121.507,31.308,wtw6hgqwq61y
655,121.326,31.299,wtw60cfcusqx
656,121.395,31.26,wtw3f6tnsw2e
657,121.434,31.211,wtw3e3c93215
