路段编码,路名,区属,类型,段起点,段止点,等级,长度,路段面积,人行道面积
JSS000020433,枫丽路,金山,路段,枫溪路,新枫路,支路,106,1401,785.4
JSS000020434,枫丽路,金山,路段,新枫路,320国道,支路,146,1946.2,1018.2
JSS000004822,枫思路,金山,路段,思古弄,枫泾新泾路,支路,159.8,1429.8,471
JSS000005133,枫溪路,金山,路段,白牛路,枫丽路,支路,180,2180.4,868.3
JSS000020440,枫阳路,金山,路段,泾波路,朱枫公路,支路,219,4938.9,1086
JSS000004922,枫阳路,金山,路段,北大街,泾波路,支路,558,12478,2873.8
JSS000005058,枫阳路,金山,路段,泾宾路,白牛路,支路,418.3,8869.4,1197
JSS000005032,枫阳路,金山,路段,白牛路,北大街,支路,217.8,5626.9,2016.6
JSS000005068,复兴北路,金山,路段,亭林复兴东路,徐家桥,支路,203,920.1,0
JSS000020380,富漕路,金山,路段,南横塘,建国路,支路,260,2684,955
JSS000020541,富漕路,金山,路段,漕廊公路,中一西路,支路,165,1618,508
JSS000020542,富漕路,金山,路段,中一西路,漕廊公路,支路,276,6097,3281
JSS000005075,富川路,金山,路段,沪杭公路,柳城路,支路,203.2,4943.5,2478.4
JSS000005022,富川路,金山,路段,柳城路,象州路,支路,250,5796.8,2941
JSS000005052,富川路,金山,路段,临潮街,沪杭公路,支路,120,1785.6,774.6
JSS000005060,干溪街,金山,路段,塌石桥路,干新路,支路,169,763,0
JSS000005017,干溪街,金山,路段,干新路,小普陀路,支路,270.8,1545.6,0
JSS000020354,干溪街,金山,路段,小普陀路,金张辅道,支路,97.9,685.3,0
JSS000004910,干新路,金山,路段,干溪街,金张公路,支路,153,1071,0
JSS000005050,高林路,金山,路段,朱林公路,市西街,支路,250,1980,480
JSS000020538,工农街,金山,路段,漕廊公路,中心东街,支路,101,202,202
JSS000020539,工农街,金山,路段,中心东街,中一西路,支路,142,284,284
JSS000020540,工农街,金山,路段,中一西路,中一西路以北,支路,280,1052,0
JSS000020625,共创路,金山,路段,中一路,沙积六组,支路,1080,16375,0
JSS000020381,共建路,金山,路段,中心东街,中一东路,支路,210,3010,1363
JSS000020536,共建路,金山,路段,漕廊公路,中心东街,支路,89,1029,318
JSS000020537,共建路,金山,路段,中一东路,配合路,支路,228,3276,1395
JSS000004916,古城路,金山,路段,龙胜路,南安路,支路,274.5,3450.3,1146
JSS000005095,古城路,金山,路段,老卫清路,龙胜路,支路,397.3,4228,1348
JSS000005030,广福街,金山,路段,健康路,南横街,支路,329,959.1,0
JSS000020565,广玉路,金山,路段,珠港街,开乐大街,支路,250,1270.5,0
JSS000020624,规划十路,金山,路段,天华路,浦东铁路,支路,674,17468,0
JSS000004926,郭汇路,金山,路段,松溪东街,亭枫公路,支路,300,2521.4,121.4
JSS000004598,海创路,金山,路段,漕廊公路,中心西街,支路,100,980.6,191.6
JSS000020543,海创路,金山,路段,中心西街,中一西路,支路,122,717.9,177.9
JSS000020701,海帆路,金山,路段,龙航路,龙轩路,支路,780,27300,7020
JSS000020530,海丰路,金山,路段,龙航路,龙皓路,支路,387.8,8268.2,1500
JSS000020487,海丰路,金山,路段,龙皓路,龙轩路,支路,444,10788,1860
JSS000020488,海丰路,金山,路段,龙轩路,龙翔路,支路,346.1,8682.8,1182.4
JSS000020532,海芙路,金山,路段,龙山路,金山大道,次干路,464.4,11536.1,2209.5
JSS000020512,海芙路,金山,路段,龙航路,龙皓路,次干路,423.5,11212,1632
JSS000020513,海芙路,金山,路段,龙皓路,龙轩路,次干路,452.8,13324,1990.8
JSS000020514,海芙路,金山,路段,龙轩路,龙翔路,次干路,356.8,9517,1399.2
JSS000020515,海芙路,金山,路段,龙翔路,龙山路,次干路,358.4,9861,1455.6
JSS000020740,海芙路,金山,路段,龙航路,龙堰路,次干路,395,12640,2370
JSS000020741,海芙路,金山,路段,龙堰路,龙湾路,次干路,231,7392,1386
JSS000020616,海金路,金山,路段,卫六路,冬隆路,支路,2878,54682,20146
JSS000020728,海利路,金山,路段,卫清东路,板桥东路,次干路,405,11626.5,0
JSS000020729,海利路,金山,路段,板桥东路,龙宇路,次干路,415,11679.5,0
JSS000020730,海利路,金山,路段,龙宇路,浦卫公路,次干路,265,7469.5,1590
JSS000020494,海凌路,金山,路段,龙山路,龙海路,支路,305.6,5632,1568
JSS000020495,海凌路,金山,路段,龙海路,金山大道,支路,201.6,4164,1336
JSS000020489,海盛路,金山,路段,龙皓路,龙轩路,次干路,389,11160,1860
JSS000020490,海盛路,金山,路段,龙轩路,龙翔路,次干路,286.4,7911.2,1318.6
JSS000020531,海盛路,金山,路段,龙航路,龙皓路,次干路,390.1,8570,1500
JSS000020742,海盛路,金山,路段,龙航路,龙堰路,次干路,261,7830,1305
JSS000005110,海棠街,金山,路段,隆平路,隆安路,支路,477.7,7317.5,3192.4
JSS000020714,海秀路,金山,路段,龙海路,金山大道,支路,500,11750,4500
JSS000020749,海云路,金山,路段,龙海路,金山大道,支路,613,8949.8,1593.8
JSS000020496,海云路,金山,路段,龙山路,龙海路,支路,418.6,7789.1,2596.4
JSS000020337,浩源路,金山,路段,南阳湾路,蒙源路,支路,322.5,7792,1205
JSS000020413,浩源路,金山,路段,蒙源路,金山大道,支路,312,7137,990
JSS000005183,合浦路,金山,路段,新城路,荔浦路,支路,309.9,4779.8,2186.4
JSS000005136,合浦路,金山,路段,蒙山路,新城路,支路,402,8266.1,3299.1
JSS000020619,合展路,金山,路段,开拓路,汇安路,支路,1787,27715,0
JSS000005121,和平东路,金山,路段,和平南路,古松桥,支路,274.3,768.4,0
JSS000004698,和平南路,金山,路段,小石桥路,亭林复兴东路,支路,475,1769.8,0
JSS000005142,河沿街,金山,路段,大新街,园明桥,支路,270,810,0
JSS000004638,恒顺路,金山,路段,珠港街,恒康路,支路,1236,14919,2739
JSS000020360,红光路,金山,路段,朱吕公路,汇丰大街,支路,201,3437.6,1226.6
JSS000020361,红光路,金山,路段,汇丰大街,新溪街,支路,233.9,4058.3,1485.4
JSS000020362,红光路,金山,路段,新溪街,干溪路,支路,123,2186.3,833
JSS000005190,红木桥路,金山,路段,干溪街,金张公路,支路,132,726,0
JSS000005093,红旗东路,金山,路段,金山卫支线,亭卫公路,次干路,1322,25368,6860
JSS000020687,红旗东路,金山,路段,华山路,卫昌路,次干路,347,8432.1,3608.8
JSS000020688,红旗东路,金山,路段,卫昌路,亭卫公路,次干路,533,12312.3,4903.6
JSS000005186,红叶路,金山,路段,珠港街,立新街,支路,536,2380.5,0
JSS000005161,花贤路,金山,路段,金张公路,张堰新北街,支路,320,3132,1212
JSS000005162,花贤路,金山,路段,张堰新北街,张堰大街,支路,56,141.9,0
JSS000020614,华创路,金山,路段,卫六路,冬隆路,支路,3215,61085,22505
JSS000020751,华纳路,金山,路段,夏盛南路,澎博钛白粉码头,支路,659,4603,0
JSS000005180,华亭西路,金山,路段,华亭小区,松金公路,支路,360,3905,0
JSS000020615,华通路,金山,路段,华创路,冬隆路,支路,3091,58729,21637
JSS000005128,环江路,金山,路段,老凤山路,新凤山路,支路,221.4,4612.4,3200.4
JSS000005010,环江路,金山,路段,新凤山路,沪杭路,支路,350.2,4644.6,1139.5
JSS000005070,环江路,金山,路段,黄姑塘,老凤山路,支路,182.5,3876.3,2655.3
JSS000020733,环六路,金山,路段,夏盛路,金瓯路,支路,530,3710,0
JSS000020610,环六路,金山,路段,金环路,金鸥路,支路,274,2740,0
JSS000005201,璜溪东街,金山,路段,金张支路,溪南路,支路,289,4753,2730
JSS000005168,璜溪西街,金山,路段,溪南路,阳光之家,支路,144,2266.6,1258.6
JSS000020383,汇安路,金山,路段,中一西路,漕廊公路,支路,156,2147,743
JSS000020620,汇安路,金山,路段,联发路,南横塘桥,支路,281,3766,0
JSS000004957,汇丰大街,金山,路段,新泾路,新卫公路,支路,978.9,27409.1,8810
JSS000020533,汇丰东大街,金山,路段,蓝滨厂区,荣东路,支路,355,5680,0
JSS000020534,汇丰东大街,金山,路段,荣东路,张泾路,支路,457.9,8350.4,0
JSS000020535,汇丰东大街,金山,路段,张泾路,张泾桥,支路,197.9,2932.9,0
JSS000004974,火炬路,金山,路段,南随塘中路,金三路,支路,465.6,5155.1,1751
JSS000005038,建昌路,金山,路段,老卫清路,金山大道,支路,882,7398,3288
JSS000004967,建民路,金山,路段,钱商大街,吕张公路,支路,330,3300,0
JSS000005027,建圩路,金山,路段,钱商大街,金张支路,支路,316,5132,1340
JSS000004900,建新大街,金山,路段,田欢路,康兴路,支路,727.5,17605.6,7420.6
JSS000020365,建新大街,金山,路段,康兴路,金张支路,支路,276,6237.6,2373.6
JSS000004959,建元路,金山,路段,钱商大街,金张公路,支路,361,2888,0
JSS000004968,健康路,金山,路段,西林街,320国道,支路,314.8,7226.8,3761.8
JSS000020648,健康路,金山,路段,北环路,秀州街,支路,395,11392.9,1267.9
JSS000005089,健康路,金山,路段,朱泾万安街,西林街,支路,293.1,6106,2883
JSS000005045,健康路,金山,路段,临源街,朱泾万安街,支路,282,7953.8,766
JSS000004882,健康路,金山,路段,秀州街,临源街,支路,300,7072,827
JSS000020415,健康南路,金山,路段,320国道,金龙新街,支路,526,7110,0
JSS000020416,健康南路,金山,路段,金龙新街,众益街,支路,283,7034.8,1876.8
JSS000020645,健康南路,金山,路段,众益街,朱增路,支路,638,19736.6,5062.6
JSS000004949,金二东路,金山,路段,北随塘河路,卫二路,支路,204.5,2863,818
JSS000004892,金二东路,金山,路段,卫二路,卫三路,支路,700.6,10042.6,2892.4
JSS000005083,金二西路,金山,路段,卫三路,卫四路,支路,782,9209.5,3374.1
JSS000020609,金环路,金山,路段,春华路,大通企业,支路,1556,15560,0
JSS000020683,金康东路,金山,路段,卫昌路,亭卫公路,次干路,725,17340,2175
JSS000004954,金零路,金山,路段,卫一路,卫二路,支路,288,3514.4,1752.7
JSS000004889,金零路,金山,路段,卫零路,卫一路,支路,314,3774.6,970.3
JSS000020653,金龙新街,金山,路段,沈浦泾南路,清泉路,支路,359.8,11504,3418
JSS000020632,金龙新街,金山,路段,健康路,塘园路,支路,328.7,6283.4,2010.3
JSS000020633,金龙新街,金山,路段,塘园路,罗星南路,支路,716,12728.2,3420.2
JSS000020634,金龙新街,金山,路段,罗星南路,沈浦泾南路,支路,467.2,8912.1,2838.5
JSS000020635,金龙新街,金山,路段,健康南路,规划一路,支路,213.5,6333.2,995.7
JSS000020636,金南街,金山,路段,健康南路,民主中心路,支路,1264,28704.5,11008.5
JSS000020611,金鸥路,金山,路段,金石公路,卫六路,支路,1710,39330,11970
JSS000004951,金三路,金山,路段,卫三路,卫四路,次干路,1300.7,15882.9,3515.9
JSS000004975,金三路,金山,路段,卫六路,卫七南路,次干路,1212.2,15600.9,3360
JSS000005079,金三路,金山,路段,火炬路,卫五路,次干路,133.9,1351.7,437.7
JSS000004654,金三路,金山,路段,卫八路,卫八西路,次干路,166.3,1709,472.8
JSS000004901,金三路,金山,路段,卫七南路,卫八路,次干路,288.5,4225.7,1108.4
JSS000004941,金三路,金山,路段,卫五路,卫六路,次干路,604.6,7941.5,1895.5
JSS000004998,金三路,金山,路段,卫四路,火炬路,次干路,474.7,6049.8,1207.4
JSS000005037,金三路,金山,路段,卫二路,卫三路,次干路,674.3,9418.5,2082.8
JSS000005013,金三西路,金山,路段,卫八西路,煤电厂边门,次干路,944.3,6731.9,297.5
JSS000005152,金山卫镇板桥西路,金山,路段,飞虹村路,临江村路,次干路,466,18691,8904
JSS000005188,金山卫镇板桥西路,金山,路段,临江村路,建昌路,次干路,580,6380,2320
JSS000005199,金山卫镇板桥西路,金山,路段,建昌路,卫六路,次干路,545,10900,5450
JSS000005116,金山卫镇板桥西路,金山,路段,学府路,古城路,次干路,448,17970,8562
JSS000005119,金山卫镇板桥西路,金山,路段,古城路,飞虹村路,次干路,150,6051,2900
JSS000005129,金山卫镇古城路,金山,路段,老卫清路,金山卫镇板桥西路,支路,328,5712,1372
JSS000020375,金山卫镇古城路,金山,路段,金山卫镇板桥西路,北泰路,支路,267,4618,1438
JSS000020376,金山卫镇古城路,金山,路段,北泰路,金山大道,支路,313,5442,1700
JSS000005014,金一东路,金山,路段,沪杭路,卫零路,支路,530.5,6574.4,3031.9
JSS000004943,金一东路,金山,路段,卫零路,卫一路,支路,308,5416.7,1688.1
JSS000005028,金一东路,金山,路段,卫一路,卫二路,支路,282,5773.3,2374.1
JSS000005015,金一路,金山,路段,卫四路,卫五北路,次干路,910.2,21440.1,6509.4
JSS000004995,金一路,金山,路段,卫五北路,卫六路,次干路,650,16364.9,4455.6
JSS000004997,金一路,金山,路段,卫二路,卫三路,次干路,753.5,17034.8,5223.8
JSS000004890,金一路,金山,路段,卫六路,卫七路,次干路,777,14517.7,3521.5
JSS000004989,金一路,金山,路段,卫三路,卫四路,次干路,784.6,17397.5,5266.5
JSS000020612,金园路,金山,路段,夏盛路,金鸥路,支路,598,3588,0
JSS000020595,金展路,金山,路段,南亭公路,桃贤路,支路,558.1,13474.4,5661
JSS000005144,泾波路,金山,路段,枫泾新泾路,枫阳路,支路,701,10990.5,3630
JSS000004981,泾西路,金山,路段,纺织厂,金枫公路,支路,160,640,0
JSS000004969,景乐路,金山,路段,新村路,廊下益民路,支路,311.7,8497.9,3351.5
JSS000004902,景乐路,金山,路段,廊下益民路,金廊公路,支路,300.1,6714.2,2139.8
JSS000020443,景农路,金山,路段,廊下新村路,益民路,支路,311.7,3808.8,0
JSS000020444,景农路,金山,路段,益民路,金廊公路,支路,300.1,3552.6,0
JSS000004896,九港路,金山,路段,山新街,山阳老东街,支路,203,1319.5,0
JSS000004880,开乐大街,金山,路段,亭卫公路,亭朱公路,支路,820,15944,4464
JSS000020623,开拓路,金山,路段,联发路,南横塘口,支路,377,11096,0
JSS000020627,康和路,金山,路段,东贤路,松卫南路,支路,837.1,22190.7,9380.3
JSS000020658,康和路,金山,路段,东贤路,松金公路,支路,829,22380,4974
JSS000020578,康贤路,金山,路段,松卫南路,留贤路,支路,260,5728,2098
JSS000020579,康贤路,金山,路段,留贤路,德贤路,支路,512,11835,4410
JSS000020580,康贤路,金山,路段,德贤路,张堰东风路,支路,266,8104,4249
JSS000020366,康兴路,金山,路段,朱吕公路,金张公路,支路,352,9328,3801.6
JSS000020367,康兴路,金山,路段,金张公路,建新大街,支路,160,4352,2112
JSS000020355,兰亭街,金山,路段,金张辅道,新溪新村,支路,126,1386,504
JSS000004899,兰亭街,金山,路段,小普陀路,金张辅道,支路,310.2,6018,3846.6
JSS000004883,兰亭街,金山,路段,红光路,小普陀路,支路,134.7,1966.7,1023.8
JSS000005035,廊下大街,金山,路段,新村路,廊下益民路,支路,388.5,2785.2,884.2
JSS000005084,廊下大街,金山,路段,廊下益民路,廊下新风路,支路,258.5,2403.5,1030.8
JSS000020445,廊下新村路,金山,路段,景钱路,景展路,支路,719,8771.8,0
JSS000020446,廊下新村路,金山,路段,景展路,景乐路,支路,212,2586.4,0
JSS000020447,廊下新村路,金山,路段,景乐路,漕廊公路,支路,211,3798,1223.8
JSS000020448,廊下新村路,金山,路段,漕廊公路,廊下大街,支路,195,1541,527
JSS000004565,廊下新风路,金山,路段,廊下大街,廊下阀门厂,支路,446,3001,1440
JSS000004537,廊下新风路,金山,路段,廊漕公路,廊下大街,支路,272.8,2487.8,987.8
JSS000004552,廊下益民路,金山,路段,景乐路,漕廊公路,支路,291,5271,1953.6
JSS000004473,廊下益民路,金山,路段,景展路,景乐路,支路,217.1,2605.2,0
JSS000020442,廊下益民路,金山,路段,漕廊公路,廊下大街,支路,212.8,2860,944.8
JSS000004944,老凤山路,金山,路段,卫五北路,卫五北以西,支路,200.4,1816.4,524.8
JSS000005184,老凤山路,金山,路段,环江路,卫五北路,支路,482,7272.2,3883.6
JSS000004634,老卫清路,金山,路段,飞虹村路,临江村路,主干路,397,3355,1576
JSS000004630,老卫清路,金山,路段,古城路,飞虹村路,主干路,160,1748,628
JSS000004621,老卫清路,金山,路段,学府路,古城路,主干路,467,4865,1750
JSS000004690,老卫清路,金山,路段,西沿河,建昌路,主干路,640,6417,1930
JSS000004816,老卫清路,金山,路段,临江村路,西沿河,主干路,121,1313,466
JSS000004791,老卫清路,金山,路段,建昌路,卫六路,主干路,603,5980,1794
JSS000020703,老西路,金山,路段,龙泉港,农贸路,支路,97,446,194
JSS000020704,老西路,金山,路段,农贸路,体育路,支路,188,714.4,225.6
JSS000020705,老西路,金山,路段,体育路,体育路以西,支路,92,349.6,110.4
JSS000004947,乐业路,金山,路段,卫五北路,卫六路,支路,631.8,9217.8,2190.8
JSS000020566,立新街,金山,路段,亭卫公路,亭朱路,支路,826,16080,4824
JSS000005100,荔浦路,金山,路段,合浦路,金涛路,支路,153.5,1148.9,538
JSS000020603,荔浦路,金山,路段,北随塘河路,大堤路,支路,116.4,906.6,291.6
JSS000020604,荔浦路,金山,路段,大堤路,合浦路,支路,226.5,6071.1,2084
JSS000020618,联发路,金山,路段,开拓路,汇安路,支路,1923,29229,0
JSS000005044,临仓街,金山,路段,朱泾镇东风路,朱泾公园路,支路,384,3236,548
JSS000005097,临仓街,金山,路段,罗星路,朱泾镇东风路,支路,341,3197.4,1043.5
JSS000020417,临仓街,金山,路段,沈浦泾路,罗星路,支路,450,5261,2111
JSS000005016,临潮街,金山,路段,隆安路（东）,隆安路（西）,支路,931.8,13141.3,6565
JSS000005042,临桂路,金山,路段,蒙山路,卫零路,次干路,659.7,19193.4,8572.4
JSS000004469,临桂路,金山,路段,战斗港桥,蒙山路,次干路,491.5,7338.5,3818.2
JSS000005085,临桂路,金山,路段,塑料厂,学府路,次干路,457.5,5939,1917.7
JSS000020564,临桂路,金山,路段,同凯路,卫阳南路,次干路,437.2,10186.6,3952.1
JSS000020556,临桂路,金山,路段,战斗港路,战斗港桥,次干路,325,9265,3023.7
JSS000020557,临桂路,金山,路段,杭州湾大道,战斗港路,次干路,316,8820.5,2540.4
JSS000020602,临桂路,金山,路段,亭卫南路,同凯路,支路,488.7,10315,3716.4
JSS000004945,临桂路,金山,路段,卫零路,东平路,次干路,366.7,10929.9,5176.2
JSS000004963,临桂路,金山,路段,东平路,塑料厂,次干路,470.5,12802.4,5686.2
JSS000005177,临江村路,金山,路段,老卫清路,板桥路,支路,210,2120,440
JSS000005039,临源街,金山,路段,南圩路,前进路,支路,195.3,6056.6,1251.2
JSS000004999,临源街,金山,路段,朱泾人民路,南圩路,支路,341,10444.9,2244.4
JSS000004689,临源街,金山,路段,前进路,健康路,支路,237.6,6791.7,1332
JSS000004966,临源街,金山,路段,沈浦泾路,浦源路,支路,242.2,7109.4,1576.6
JSS000004946,临源街,金山,路段,浦源路,罗星路,支路,237.6,6959,1332
JSS000004953,临源街,金山,路段,罗星路,朱泾人民路,支路,241.5,7202.4,1599.2
JSS000004932,留溪路,金山,路段,金张公路,张堰中大街,支路,183,2126,845
JSS000005072,留溪路,金山,路段,张堰中大街,新华中路,支路,46,291,35
JSS000005179,留溪路,金山,路段,新华中路,牛桥港,支路,79,900,426
JSS000005154,柳城路,金山,路段,富川路,蒙山路,支路,340.5,4455.8,2038.3
JSS000004948,柳城路,金山,路段,蒙山路,大堤路,支路,429.8,6319.5,2465.9
JSS000020702,龙海路（金山卫镇）,金山,路段,茸卫路,海秀路,支路,680,15980,6120
JSS000020755,龙海路（新城区）,金山,路段,海云路,海凌路,支路,400,6720,0
JSS000020715,龙航路,金山,路段,东平北路,新卫公路,次干路,3700,148000,22200
JSS000020455,龙航路,金山,路段,亭卫公路,海丰路,主干路,786.6,23718.6,3266.8
JSS000020456,龙航路,金山,路段,海丰路,海盛路,主干路,469,13970.9,1942.6
JSS000020457,龙航路,金山,路段,海盛路,海芙路,主干路,445,12938.3,1976.5
JSS000020458,龙航路,金山,路段,海芙路,松卫南路,主干路,384.6,9263.2,1367.2
JSS000020459,龙航路,金山,路段,松卫南路,蒙山北路,主干路,630,19310.9,2652.6
JSS000020460,龙航路,金山,路段,蒙山北路,卫零北路,主干路,506.8,17029.4,2893.4
JSS000020461,龙航路,金山,路段,卫零北路,东平北路,主干路,432.2,12358.3,1962
JSS000020501,龙皓路,金山,路段,亭卫公路,海丰路,次干路,584,18658,4256
JSS000020502,龙皓路,金山,路段,海丰路,海盛路,次干路,451,13918.5,3026.5
JSS000020503,龙皓路,金山,路段,海盛路,海芙路,次干路,422,12990,2932
JSS000020504,龙皓路,金山,路段,海芙路,松卫南路,次干路,365,10133.6,2411.6
JSS000020505,龙皓路,金山,路段,松卫南路,蒙山北路,次干路,611,19255.9,4541.7
JSS000020506,龙皓路,金山,路段,蒙山北路,卫零北路,次干路,482,17184,3507
JSS000020507,龙皓路,金山,路段,卫零北路,东平北路,次干路,407,12342,2744
JSS000020592,龙皓路,金山,路段,西静路,学府路,次干路,435,15226,3916
JSS000020593,龙皓路,金山,路段,学府路,东平北路,次干路,1009,35316,9082
JSS000020335,龙凯街,金山,路段,板桥西路,山龙街,支路,65,612.2,293.6
JSS000020336,龙凯街,金山,路段,山龙街,卫清西路,支路,318,5937.6,2469.6
JSS000004894,龙临街,金山,路段,东园街,东礁街,支路,209.1,1794.9,499.9
JSS000004680,龙临街,金山,路段,东礁街,卫零路,支路,238.2,2908.4,1410.4
JSS000005175,龙泉东路,金山,路段,山新街,储粮路,支路,280,1120,0
JSS000004686,龙泉西路,金山,路段,南阳南街,山新街,支路,280,1120,0
JSS000020481,龙山路,金山,路段,海盛路,松卫南路 ,次干路,810,16631.7,5056.5
JSS000020482,龙山路,金山,路段,松卫南路,蒙山北路,次干路,562.5,11719.6,2742.6
JSS000020483,龙山路,金山,路段,蒙山北路,卫零北路,次干路,440.8,9899.6,2152
JSS000020747,龙山路,金山,路段,杭州湾大道,海芙路,次干路,358,6802,1790
JSS000020748,龙山路,金山,路段,海芙路,亭卫公路,次干路,900,17100,4500
JSS000020731,龙胜东路,金山,路段,亭卫南路,同凯路,次干路,360,10710,1800
JSS000020732,龙胜东路,金山,路段,同凯路,卫阳南路,次干路,427,12451,2134
JSS000020468,龙胜东路,金山,路段,亭卫南路,卫阳南路,次干路,856.6,19432.5,3598
JSS000020334,龙胜东路,金山,路段,卫阳南路,杭州湾大道,次干路,505,14249,2882.5
JSS000004725,龙胜路,金山,路段,战斗港桥,蒙山路,次干路,396.4,7005.5,2163.3
JSS000020017,龙胜路,金山,路段,杭州湾大道,战斗港路,次干路,241,5058.5,1110
JSS000020019,龙胜路,金山,路段,战斗港路,战斗港桥,次干路,272,7139,1740
JSS000004876,龙胜路,金山,路段,古城路,污水1#泵房,次干路,312,4565.6,1686.5
JSS000004862,龙胜路,金山,路段,学府路,古城路,次干路,446,6797.8,2521.6
JSS000004656,龙胜路,金山,路段,园林综合工程队,学府路,次干路,656,10603.3,3833.4
JSS000004938,龙胜路,金山,路段,蒙山路,卫零路,次干路,679.6,15198.6,2208.4
JSS000004803,龙胜路,金山,路段,卫零路,东平南路,次干路,307.4,6693.3,1431.8
JSS000004797,龙胜路,金山,路段,东平南路,园林综合工程队,次干路,179.9,3682.6,1512.9
JSS000020363,龙土路,金山,路段,朱吕公路,汇丰大街,支路,328.3,6631.7,3020.4
JSS000020364,龙土路,金山,路段,汇丰大街,新溪街,支路,338.5,6770.1,3046.6
JSS000020020,龙翔路,金山,路段,松卫南路,蒙山北路,次干路,614,16142,3264
JSS000020021,龙翔路,金山,路段,蒙山北路,卫零北路,次干路,483,17997,6096
JSS000020407,龙翔路,金山,路段,海芙路,松卫南路,次干路,387.1,9916,1520
JSS000020408,龙翔路,金山,路段,海盛路,海芙路,次干路,433,10576,1625
JSS000020411,龙翔路,金山,路段,卫零北路,东平北路,次干路,422.6,12198.5,3570.8
JSS000020745,龙翔路,金山,路段,海盛路,海丰路,次干路,450,13950,2700
JSS000020746,龙翔路,金山,路段,海丰路,亭卫公路,次干路,253.6,7861.9,1521.7
JSS000020590,龙轩路,金山,路段,西静路,学府路,次干路,580,23200,5220
JSS000020591,龙轩路,金山,路段,学府路,东平南路,次干路,1012,40480,9108
JSS000020343,龙轩路,金山,路段,海芙路,松卫南路,主干路,370.3,12916.5,2712
JSS000020344,龙轩路,金山,路段,松卫南路,蒙山北路,主干路,610.5,22206.8,5435.8
JSS000020345,龙轩路,金山,路段,蒙山北路,卫零北路,主干路,479.7,28997,4137.2
JSS000020346,龙轩路,金山,路段,亭卫公路,海丰路,主干路,391,13080,2928
JSS000020347,龙轩路,金山,路段,海丰路,海盛路,主干路,450,16411,3978
JSS000020348,龙轩路,金山,路段,海盛路,海芙路,主干路,420,15238,3808
JSS000020498,龙轩路,金山,路段,卫零北路,东平北路,主干路,423.8,12757.5,2374.6
JSS000020743,龙堰路,金山,路段,杭州湾大道,海芙路,次干路,354,10620,2124
JSS000020744,龙堰路,金山,路段,海芙路,海盛路,次干路,431,12930,2586
JSS000020568,龙堰路,金山,路段,松卫南路,卫零北路,次干路,1120,29700,6800
JSS000020724,龙宇路,金山,路段,金山支线,亭卫南路,次干路,518,8367,0
JSS000020725,龙宇路,金山,路段,亭卫南路,同凯路,次干路,358,8722.4,1790
JSS000020726,龙宇路,金山,路段,同凯路,卫阳南路,次干路,408,9957.6,2040
JSS000020727,龙宇路,金山,路段,卫阳南路,杭州湾大道,次干路,275,6672.5,1375
JSS000020473,龙宇路,金山,路段,亭卫南路,杭州湾大道,支路,1248.3,26691,5645
JSS000020754,龙展路,金山,路段,杭州湾大道,海芙路,次干路,479.7,5755.9,1918.6
JSS000020558,隆安东路,金山,路段,亭卫南路,同凯路,次干路,326,17305.4,3260
JSS000020559,隆安东路,金山,路段,同凯路,站前路,次干路,154,6853,1694
JSS000020560,隆安东路,金山,路段,站前路,卫阳南路,次干路,140,7529,1820
JSS000020561,隆安东路,金山,路段,卫阳南路,杭州湾大道,次干路,675,34320,6750
JSS000020333,隆安东路,金山,路段,杭州湾大道,戚家墩路,支路,454.4,7015.3,2257.3
JSS000004819,隆安路,金山,路段,戚家墩路,蒙山路,支路,675.1,18220.7,5236
JSS000004834,隆安路,金山,路段,蒙山路,沪杭公路,支路,575.2,11908.9,3310
JSS000004992,隆平路,金山,路段,戚家墩路,沪杭路,支路,1772.5,28388.8,11334.2
JSS000004787,罗星路,金山,路段,新安街,东林街,支路,222.1,5460.5,2995.2
JSS000004853,罗星路,金山,路段,朱泾万安街,新安街,支路,107.7,2065.5,870
JSS000004854,罗星路,金山,路段,临仓街,320国道,支路,85.7,2011.5,1060.2
JSS000004839,罗星路,金山,路段,东林街,临仓街,支路,50.3,703.7,145.4
JSS000020418,罗星路,金山,路段,秀州街,临源街,支路,300,5722,2422
JSS000004908,罗星路,金山,路段,临源街,朱泾万安街,支路,320,6089,2569
JSS000020647,罗星路,金山,路段,华光百合苑,秀州街,支路,363,10518.1,3258.1
JSS000020644,罗星南路,金山,路段,众益街,收费站,支路,354.6,11021.9,2866.1
JSS000020419,罗星南路,金山,路段,320国道,金龙新街,支路,632,10436.2,1259.2
JSS000020420,罗星南路,金山,路段,金龙新街,众益街,支路,264,4950,1600
JSS000004522,罗中路,金山,路段,朱泾万安街,东林街,支路,344.8,2475.8,1269
JSS000004982,码头路,金山,路段,沈浦泾南路,码头路,支路,455.1,3533.7,591
JSS000004984,贸易路,金山,路段,浦银路,新农牡丹路,支路,170,3717,2040
JSS000004841,贸易路,金山,路段,池泾路,浦银路,支路,88,1363,616
JSS000004935,梅州街,金山,路段,隆安路,沪杭路,支路,626.8,6918,2621.9
JSS000020491,蒙山北路,金山,路段,龙轩路,龙翔路,次干路,289.5,9104,1809
JSS000020492,蒙山北路,金山,路段,龙皓路,龙轩路,次干路,390.4,12663.5,2753.4
JSS000020493,蒙山北路,金山,路段,龙航路,龙皓路,次干路,360.3,11726.7,2132.7
JSS000004486,蒙山北路,金山,路段,龙翔路,金山大道,次干路,730.3,24760.2,5451
