路段编码,路名,区属,类型,段起点,段止点,等级,长度,路段面积,人行道面积
HPS000011460,梦花街小市政,黄浦,路段,182弄A,182弄B,支路,84,305,0
HPS000011458,面筋弄,黄浦,路段,中华路,巡道街,支路,155,999.1,561.9
HPS000020341,苗江路,黄浦,路段,中山南路,半淞园路,次干路,130,3744,1271
HPS000020342,苗江路,黄浦,路段,半淞园路,花园港路,次干路,587,13393,6324
HPS000020343,苗江路,黄浦,路段,花园港路,望达路,次干路,310,6528,2972
HPS000020344,苗江路,黄浦,路段,望达路,半淞园路,次干路,710,13436,5141
HPS000011395,篾竹路,黄浦,路段,赵家湾路,董家渡路,支路,31.5,114.1,49.7
HPS000011408,篾竹路,黄浦,路段,王家码头街,赵家湾路,支路,145.6,1245,581.3
HPS000011399,篾竹路小市政,黄浦,路段,202弄A,202弄B,支路,22.5,89.3,0
HPS000011389,篾竹路小市政,黄浦,路段,139弄A,139弄B,支路,20,50,0
