ID,BID,UID,ST,SX,SY,ET,EX,EY,DS,DU,class
534,55900,7212,2016/8/1 10:55,121.452,31.289,2016/8/1 11:19,121.473,31.294,2706.96,24,5
535,125690,7413,2016/8/1 10:58,121.479,31.396,2016/8/1 11:22,121.441,31.368,6126.64,24,5
536,109351,717,2016/8/1 11:00,121.405,31.13,2016/8/1 11:12,121.399,31.131,1663.62,12,5
537,74145,6295,2016/8/1 11:06,121.428,31.157,2016/8/1 11:20,121.444,31.17,2491.99,14,0
538,101785,8058,2016/8/1 11:07,121.436,31.244,2016/8/1 11:20,121.423,31.254,2172.18,13,0
539,118939,3034,2016/8/1 11:07,121.531,31.323,2016/8/1 11:14,121.524,31.324,1070.29,7,3
540,32363,3612,2016/8/1 11:07,121.489,31.248,2016/8/1 11:48,121.508,31.263,5356.34,41,3
541,84828,6480,2016/8/1 11:09,121.438,31.326,2016/8/1 11:17,121.431,31.336,1409.33,8,2
542,68098,7857,2016/8/1 11:10,121.48,31.278,2016/8/1 11:25,121.46,31.26,3319.74,15,5
544,26749,6325,2016/8/1 11:12,121.386,31.174,2016/8/1 11:24,121.388,31.186,1793.46,12,0
545,497,3898,2016/8/1 11:16,121.462,31.198,2016/8/1 11:22,121.455,31.196,895.43,6,4
546,32590,7380,2016/8/1 11:17,121.405,31.204,2016/8/1 11:29,121.39,31.209,2031.93,12,7
547,105186,5192,2016/8/1 11:19,121.484,31.277,2016/8/1 11:42,121.514,31.274,3920.16,23,7
548,5399,3223,2016/8/1 11:19,121.509,31.236,2016/8/1 11:25,121.519,31.237,1316.33,6,0
549,87366,1798,2016/8/1 11:21,121.491,31.266,2016/8/1 11:25,121.488,31.267,392.11,4,4
550,13194,3256,2016/8/1 11:22,121.382,31.223,2016/8/1 11:29,121.381,31.232,1034.54,7,7
551,78464,1111,2016/8/1 11:23,121.384,31.21,2016/8/1 11:35,121.367,31.219,2414.02,12,0
552,27014,5010,2016/8/1 11:24,121.452,31.223,2016/8/1 11:27,121.457,31.225,628.93,3,0
553,72852,1911,2016/8/1 11:24,121.518,31.294,2016/8/1 11:41,121.535,31.293,2532.75,17,3
554,74404,2082,2016/8/1 11:25,121.425,31.293,2016/8/1 11:32,121.421,31.284,879.98,7,5
555,13826,5438,2016/8/1 11:26,121.33,31.227,2016/8/1 11:34,121.32,31.24,1821.77,8,0
556,94564,5465,2016/8/1 11:26,121.478,31.271,2016/8/1 11:41,121.477,31.291,1787.39,15,7
557,6560,2256,2016/8/1 11:26,121.415,31.175,2016/8/1 11:32,121.424,31.179,1350.08,6,4
558,125630,1072,2016/8/1 11:27,121.476,31.305,2016/8/1 11:31,121.467,31.304,1060,4,3
559,119804,6027,2016/8/1 11:27,121.532,31.315,2016/8/1 11:35,121.538,31.313,784.36,8,5
560,120275,909,2016/8/1 11:29,121.354,31.285,2016/8/1 11:32,121.35,31.281,589.44,3,5
561,90894,4457,2016/8/1 11:30,121.428,31.197,2016/8/1 11:39,121.424,31.186,1262.55,9,3
562,124761,7472,2016/8/1 11:31,121.498,31.261,2016/8/1 11:39,121.507,31.257,1423.33,8,5
563,111033,5313,2016/8/1 11:32,121.394,31.26,2016/8/1 11:43,121.397,31.251,1639.72,11,4
564,41466,943,2016/8/1 11:34,121.526,31.256,2016/8/1 11:46,121.537,31.264,1762.75,12,1
565,53549,2170,2016/8/1 11:36,121.421,31.186,2016/8/1 11:47,121.409,31.185,1741.15,11,5
566,110888,7846,2016/8/1 11:37,121.488,31.237,2016/8/1 11:41,121.489,31.233,300.03,4,3
567,124151,7242,2016/8/1 11:37,121.522,31.305,2016/8/1 11:46,121.515,31.303,851.72,9,4
568,106704,1031,2016/8/1 11:41,121.407,31.251,2016/8/1 12:02,121.416,31.215,3316.72,21,4
569,120276,6664,2016/8/1 11:42,121.488,31.239,2016/8/1 11:52,121.491,31.248,1079.88,10,7
570,117373,4407,2016/8/1 11:47,121.447,31.223,2016/8/1 11:51,121.449,31.219,633.76,4,3
571,26960,5531,2016/8/1 11:50,121.485,31.306,2016/8/1 12:02,121.496,31.311,1515.24,12,7
572,16696,5781,2016/8/1 11:52,121.504,31.284,2016/8/1 11:59,121.505,31.283,169.49,7,0
573,111017,6249,2016/8/1 11:54,121.494,31.337,2016/8/1 11:59,121.49,31.34,736.02,5,5
574,94253,7501,2016/8/1 11:54,121.526,31.309,2016/8/1 12:12,121.52,31.312,842.53,18,0
575,78594,6166,2016/8/1 11:54,121.503,31.293,2016/8/1 12:22,121.498,31.272,3070.17,28,5
576,82837,95,2016/8/1 11:56,121.532,31.282,2016/8/1 12:08,121.529,31.274,1656.58,12,5
577,120550,5660,2016/8/1 11:57,121.533,31.268,2016/8/1 12:04,121.536,31.259,1171.5,7,0
578,125550,2960,2016/8/1 12:00,121.478,31.269,2016/8/1 12:31,121.473,31.268,1019.19,31,2
579,29603,140,2016/8/1 12:01,121.507,31.313,2016/8/1 12:08,121.502,31.309,1138.31,7,4
580,53645,2027,2016/8/1 12:04,121.48,31.246,2016/8/1 12:27,121.479,31.265,3037.23,23,7
581,27793,965,2016/8/1 12:04,121.506,31.254,2016/8/1 12:17,121.492,31.263,2095.18,13,3
582,125310,3823,2016/8/1 12:06,121.569,31.228,2016/8/1 12:42,121.542,31.218,3474.35,36,0
583,20567,3246,2016/8/1 12:07,121.457,31.184,2016/8/1 12:18,121.452,31.171,1311.71,11,3
584,122417,5988,2016/8/1 12:07,121.355,31.23,2016/8/1 12:12,121.354,31.223,718.79,5,0
586,101280,3482,2016/8/1 12:08,121.415,31.273,2016/8/1 12:15,121.422,31.277,1283.5,7,0
587,4693,3985,2016/8/1 12:09,121.478,31.221,2016/8/1 12:16,121.479,31.212,1079.77,7,3
588,108515,1207,2016/8/1 12:10,121.384,31.166,2016/8/1 12:14,121.382,31.171,512.49,4,5
589,118102,5937,2016/8/1 12:11,121.413,31.142,2016/8/1 12:18,121.416,31.141,1436.44,7,7
590,116503,4032,2016/8/1 12:11,121.551,31.293,2016/8/1 12:22,121.536,31.289,3058.38,11,5
591,110358,3451,2016/8/1 12:11,121.483,31.265,2016/8/1 12:19,121.479,31.266,798.45,8,0
592,85828,3112,2016/8/1 12:12,121.431,31.339,2016/8/1 12:18,121.429,31.333,928.57,6,7
593,1542,3258,2016/8/1 12:12,121.441,31.153,2016/8/1 12:15,121.443,31.156,791.49,3,7
594,4969,822,2016/8/1 12:13,121.467,31.204,2016/8/1 12:19,121.471,31.199,1024.07,6,1
595,100924,3017,2016/8/1 12:13,121.469,31.206,2016/8/1 12:17,121.47,31.204,343.77,4,2
596,15838,7993,2016/8/1 12:15,121.478,31.223,2016/8/1 12:31,121.499,31.221,3054.05,16,7
597,37639,6620,2016/8/1 12:17,121.491,31.244,2016/8/1 12:22,121.486,31.246,672.89,5,0
598,35157,6374,2016/8/1 12:17,121.504,31.221,2016/8/1 12:24,121.498,31.217,904.72,7,0
599,126129,2017,2016/8/1 12:18,121.353,31.243,2016/8/1 12:23,121.358,31.244,1025.1,5,0
600,123369,65,2016/8/1 12:22,121.506,31.268,2016/8/1 12:49,121.509,31.281,1447.72,27,7
601,29665,924,2016/8/1 12:22,121.454,31.272,2016/8/1 12:34,121.465,31.267,1970.06,12,7
602,29642,7574,2016/8/1 12:23,121.451,31.247,2016/8/1 12:30,121.447,31.248,800.32,7,4
603,122618,5534,2016/8/1 12:23,121.447,31.187,2016/8/1 12:39,121.438,31.192,1775.59,16,5
604,6560,5871,2016/8/1 12:23,121.428,31.175,2016/8/1 12:28,121.418,31.18,1403.4,5,0
605,108806,4793,2016/8/1 12:24,121.456,31.298,2016/8/1 12:34,121.437,31.295,2345.71,10,3
606,13596,6803,2016/8/1 12:29,121.392,31.205,2016/8/1 12:40,121.388,31.214,1189.77,11,7
607,122711,6417,2016/8/1 12:29,121.49,31.279,2016/8/1 13:03,121.475,31.323,4541.72,34,1
608,79030,4761,2016/8/1 12:32,121.43,31.168,2016/8/1 12:47,121.408,31.163,2811.42,15,0
609,122091,7059,2016/8/1 12:32,121.478,31.27,2016/8/1 12:42,121.48,31.279,1369.83,10,0
