ID,BID,UID,ST,SX,SY,ET,EX,EY,EC,DU,DS
2690,80814,10123,2020/8/11 9:14,121.36,31.217,2020/8/11 9:29,121.35,31.226,0,15,1379.71184
2691,180112,8338,2020/8/11 9:17,121.481,31.303,2020/8/11 9:27,121.489,31.291,0,10,1533.080755
2692,85715,10998,2020/8/11 9:21,121.498,31.213,2020/8/11 9:32,121.499,31.204,0,11,1002.397562
2693,123815,10631,2020/8/11 9:25,121.447,31.191,2020/8/11 9:32,121.45,31.198,0,7,827.104586
2694,150190,2016,2020/8/11 9:30,121.467,31.278,2020/8/11 9:57,121.508,31.274,3,27,3929.459364
2695,114848,4493,2020/8/11 9:35,121.506,31.285,2020/8/11 9:37,121.502,31.286,0,2,396.684086
2696,155762,4554,2020/8/11 9:37,121.492,31.148,2020/8/11 9:47,121.504,31.145,3,10,1191.656501
2697,148004,5477,2020/8/11 9:42,121.363,31.217,2020/8/11 10:55,121.364,31.219,5,73,241.352363
2698,90890,3930,2020/8/11 9:45,121.44,31.331,2020/8/11 10:01,121.436,31.323,5,16,965.250463
2699,149175,7085,2020/8/11 9:47,121.47,31.336,2020/8/11 9:58,121.489,31.332,1,11,1861.819807
2700,41455,11602,2020/8/11 9:51,121.452,31.205,2020/8/11 9:56,121.458,31.211,5,5,877.19557
2701,81845,4813,2020/8/11 9:57,121.388,31.311,2020/8/11 10:14,121.384,31.319,5,17,965.267983
2702,3663,3049,2020/8/11 10:01,121.487,31.199,2020/8/11 10:03,121.485,31.198,3,2,220.512186
2703,10659,6359,2020/8/11 10:03,121.433,31.201,2020/8/11 10:07,121.429,31.206,4,4,672.782584
2704,20824,6812,2020/8/11 10:07,121.43,31.248,2020/8/11 10:15,121.44,31.24,5,8,1301.614795
2705,119894,9472,2020/8/11 10:12,121.45,31.231,2020/8/11 10:20,121.441,31.228,3,8,919.7261
2706,86345,11598,2020/8/11 10:17,121.452,31.238,2020/8/11 10:28,121.45,31.23,3,11,907.222865
2707,83131,2503,2020/8/11 10:22,121.506,31.285,2020/8/11 10:24,121.503,31.286,0,2,306.418452
2708,76641,3316,2020/8/11 10:25,121.476,31.305,2020/8/11 10:49,121.461,31.282,3,24,2922.792398
