ID,SX,SY,class,sort
480,121.405,31.13,5,0
481,121.403,31.17,0,0
482,121.369,31.217,7,0
483,121.405,31.276,5,0
484,121.402,31.264,5,0
485,121.525,31.316,5,0
486,121.367,31.237,3,0
487,121.467,31.263,7,0
488,121.46,31.298,5,0
489,121.45,31.197,7,0
490,121.481,31.232,0,0
491,121.404,31.239,4,0
492,121.375,31.187,4,0
493,121.443,31.157,3,0
494,121.504,31.193,7,0
495,121.419,31.207,5,0
496,121.529,31.26,2,0
497,121.433,31.174,0,0
498,121.477,31.238,4,0
499,121.401,31.171,0,0
500,121.484,31.232,0,0
501,121.444,31.223,0,0
502,121.485,31.25,5,0
503,121.488,31.211,7,0
504,121.431,31.213,3,0
505,121.442,31.233,5,0
506,121.506,31.266,0,0
507,121.54,31.272,5,0
508,121.464,31.217,5,0
509,121.362,31.254,0,0
510,121.448,31.273,7,0
511,121.524,31.264,0,0
512,121.506,31.214,4,0
513,121.432,31.339,6,0
514,121.442,31.269,1,0
515,121.543,31.273,6,0
516,121.452,31.245,5,0
517,121.462,31.193,0,0
518,121.454,31.207,2,0
519,121.484,31.306,4,0
520,121.433,31.251,7,0
521,121.469,31.25,3,0
522,121.477,31.3,5,0
523,121.408,31.206,7,0
524,121.468,31.23,3,0
525,121.342,31.151,2,0
526,121.468,31.304,4,0
527,121.307,31.21,5,0
528,121.525,31.308,7,0
529,121.548,31.227,5,0
530,121.355,31.181,0,0
531,121.348,31.155,0,0
532,121.482,31.203,0,0
533,121.463,31.261,0,0
534,121.452,31.289,5,0
535,121.479,31.396,5,0
536,121.405,31.13,5,0
537,121.428,31.157,0,0
538,121.436,31.244,0,0
539,121.531,31.323,3,0
540,121.489,31.248,3,0
541,121.438,31.326,2,0
542,121.48,31.278,5,0
544,121.386,31.174,0,0
545,121.462,31.198,4,0
546,121.405,31.204,7,0
547,121.484,31.277,7,0
548,121.509,31.236,0,0
549,121.491,31.266,4,0
550,121.382,31.223,7,0
551,121.384,31.21,0,0
552,121.452,31.223,0,0
553,121.518,31.294,3,0
554,121.425,31.293,5,0
555,121.33,31.227,0,0
556,121.478,31.271,7,0
557,121.415,31.175,4,0
558,121.476,31.305,3,0
559,121.532,31.315,5,0
560,121.354,31.285,5,0
561,121.428,31.197,3,0
562,121.498,31.261,5,0
563,121.394,31.26,4,0
564,121.526,31.256,1,0
565,121.421,31.186,5,0
566,121.488,31.237,3,0
567,121.522,31.305,4,0
568,121.407,31.251,4,0
569,121.488,31.239,7,0
570,121.447,31.223,3,0
571,121.485,31.306,7,0
572,121.504,31.284,0,0
573,121.494,31.337,5,0
574,121.526,31.309,0,0
575,121.503,31.293,5,0
576,121.532,31.282,5,0
577,121.533,31.268,0,0
578,121.478,31.269,2,0
579,121.507,31.313,4,0
580,121.48,31.246,7,0
581,121.506,31.254,3,0
582,121.569,31.228,0,0
583,121.457,31.184,3,0
584,121.355,31.23,0,0
586,121.415,31.273,0,0
587,121.478,31.221,3,0
588,121.384,31.166,5,0
589,121.413,31.142,7,0
590,121.551,31.293,5,0
591,121.483,31.265,0,0
592,121.431,31.339,7,0
593,121.441,31.153,7,0
594,121.467,31.204,1,0
595,121.469,31.206,2,0
596,121.478,31.223,7,0
597,121.491,31.244,0,0
598,121.504,31.221,0,0
599,121.353,31.243,0,0
600,121.506,31.268,7,0
601,121.454,31.272,7,0
602,121.451,31.247,4,0
603,121.447,31.187,5,0
604,121.428,31.175,0,0
605,121.456,31.298,3,0
606,121.392,31.205,7,0
607,121.49,31.279,1,0
608,121.43,31.168,0,0
609,121.478,31.27,0,0
610,121.517,31.274,4,0
611,121.434,31.201,5,0
612,121.491,31.245,0,0
613,121.441,31.228,3,0
614,121.406,31.136,0,0
615,121.444,31.27,7,0
616,121.45,31.216,7,0
617,121.512,31.25,0,0
618,121.447,31.19,5,0
619,121.46,31.318,0,0
620,121.455,31.196,0,0
621,121.628,31.279,2,0
622,121.461,31.268,2,0
623,121.428,31.156,5,0
624,121.532,31.323,5,0
625,121.482,31.202,0,0
626,121.45,31.205,5,0
627,121.422,31.187,2,0
628,121.53,31.211,1,0
629,121.473,31.339,5,0
630,121.477,31.275,6,0
631,121.513,31.194,5,0
632,121.532,31.304,4,0
633,121.483,31.244,3,0
634,121.359,31.141,4,0
635,121.536,31.27,7,0
636,121.449,31.193,4,0
637,121.475,31.215,3,0
638,121.459,31.212,0,0
639,121.445,31.208,2,0
640,121.473,31.196,7,0
641,121.543,31.311,0,0
642,121.442,31.23,5,0
643,121.471,31.208,1,0
644,121.466,31.218,6,0
645,121.398,31.228,3,0
646,121.545,31.297,3,0
647,121.53,31.268,0,0
648,121.4,31.13,0,0
649,121.41,31.268,7,0
650,121.482,31.268,0,0
651,121.53,31.259,2,0
652,121.434,31.174,5,0
653,121.436,31.168,0,0
654,121.509,31.304,2,0
655,121.327,31.292,5,0
656,121.392,31.268,0,0
657,121.444,31.214,4,0
658,121.404,31.154,2,0
659,121.48,31.227,7,0
660,121.468,31.206,3,0
661,121.434,31.167,1,0
662,121.42,31.198,7,0
663,121.446,31.212,3,0
664,121.487,31.237,3,0
665,121.377,31.271,4,0
666,121.476,31.233,2,0
667,121.474,31.218,2,0
668,121.439,31.215,2,0
669,121.535,31.288,5,0
