class,lon,lat
0,121.225677,31.268698
0,121.262802,31.350779
0,121.262375,31.352873
0,121.258781,31.35132
2,121.350005,31.182201
4,121.587727,31.309309
4,121.344514,31.254028
4,121.486726,31.221169
4,121.316794,31.110283
4,121.351193,31.284717
2,121.354024,31.12442
2,121.345457,31.134385
2,121.402278,31.132606
2,121.364225,31.024141
3,121.2512,31.376878
3,121.250058,31.378596
3,121.248471,31.376313
3,121.258857,31.38833
3,121.198195,31.409201
3,121.250476,31.408512
0,121.184265,31.327726
0,121.219353,31.389536
0,121.233505,31.410425
2,121.395796,31.189381
2,121.45556,31.02277
2,121.516563,31.077693
2,121.386096,31.169219
0,121.320366,31.245096
0,121.325737,31.301233
3,121.301275,31.270896
2,121.330706,31.183876
2,121.387404,31.086227
2,121.424722,31.110469
2,121.457366,31.063299
0,121.252953,31.384428
0,121.247139,31.379107
0,121.241737,31.37499
0,121.319687,31.369844
0,121.191597,31.278259
0,121.251297,31.270365
0,121.200294,31.310564
0,121.2771,31.328785
0,121.315674,31.381189
0,121.267174,31.33297
0,121.309784,31.379753
0,121.23774,31.314049
0,121.250084,31.337479
0,121.289948,31.386215
0,121.319687,31.290859
0,121.315613,31.284914
0,121.307785,31.265894
2,121.272285,31.226928
0,121.322549,31.296691
0,121.315499,31.289071
2,121.384931,31.112769
2,121.427791,31.182644
2,121.460541,31.396448
2,121.477797,31.396663
0,121.570376,31.158357
0,121.572326,31.158805
0,121.50691,31.322094
2,121.529685,31.221481
2,121.611292,31.153984
2,121.103258,30.946085
2,121.28411,30.70935
2,121.236911,31.345154
2,121.670862,31.296907
2,121.569111,31.133121
2,121.336506,31.29741
2,121.414266,31.307768
2,121.549007,31.247651
2,121.499618,31.234455
2,121.44935,31.198598
2,121.514236,31.238474
2,121.367383,31.37435
2,121.290166,31.311687
2,121.590756,31.100487
2,121.592843,31.339594
4,121.264776,31.332547
4,121.164541,31.296482
4,121.313328,31.286711
4,121.242077,31.364753
4,121.262524,31.379202
4,121.323507,31.301393
2,121.219849,31.013824
2,121.555206,31.253859
2,121.421751,31.203305
2,121.430918,31.751149
2,121.240779,31.831299
2,121.282348,31.129856
2,121.174441,31.365645
2,121.23194,31.461088
4,121.312034,31.238288
4,121.24786,31.365281
4,121.487763,31.204997
4,121.515003,31.187715
0,121.469239,31.291451
4,121.464626,31.250218
0,121.471876,31.271012
0,121.47379,31.271384
0,121.507267,31.262819
4,121.391268,31.238704
0,121.498564,31.254921
0,121.504968,31.250516
0,121.494347,31.277408
4,121.67394,31.240469
4,121.781324,31.051603
4,121.729017,31.214432
4,121.66979,31.165453
2,121.598446,31.042454
2,121.668697,31.163877
2,121.536341,31.242488
2,121.642812,31.039043
2,121.702501,31.014788
2,121.709744,31.207078
2,121.799663,30.861711
3,121.554579,31.238595
3,121.527112,31.209008
0,121.342802,30.731632
0,121.327367,30.879779
2,121.489132,31.402373
2,121.37356,31.212438
2,121.285183,31.378162
0,121.500506,31.27337
0,121.48797,31.276014
0,121.504723,31.268872
0,121.48746,31.284864
0,121.503308,31.262505
0,121.502181,31.272704
2,121.617591,31.153741
3,121.47357,31.223541
3,121.227831,31.294713
