UID,ST
2646,2016/8/1 9:20
6613,2016/8/1 9:21
579,2016/8/1 9:21
4873,2016/8/1 9:22
7617,2016/8/1 9:22
5236,2016/8/1 9:22
7849,2016/8/1 9:24
2637,2016/8/1 9:24
1574,2016/8/1 9:24
7577,2016/8/1 9:25
1711,2016/8/1 9:25
1603,2016/8/1 9:25
1050,2016/8/1 9:26
3101,2016/8/1 9:26
2902,2016/8/1 9:26
4222,2016/8/1 9:28
3013,2016/8/1 9:28
6937,2016/8/1 9:30
7425,2016/8/1 9:30
2489,2016/8/1 9:30
6221,2016/8/1 9:31
5135,2016/8/1 9:31
5871,2016/8/1 9:31
7196,2016/8/1 9:31
6711,2016/8/1 9:33
7704,2016/8/1 9:33
7306,2016/8/1 9:33
1106,2016/8/1 9:36
4586,2016/8/1 9:36
5411,2016/8/1 9:38
3254,2016/8/1 9:38
7300,2016/8/1 9:41
2611,2016/8/1 9:41
7948,2016/8/1 9:42
7898,2016/8/1 9:43
2822,2016/8/1 9:43
5749,2016/8/1 9:45
6076,2016/8/1 9:45
1820,2016/8/1 9:48
6127,2016/8/1 9:49
5577,2016/8/1 9:50
7179,2016/8/1 9:51
5172,2016/8/1 9:52
5990,2016/8/1 9:54
5663,2016/8/1 9:54
589,2016/8/1 9:54
3667,2016/8/1 9:56
6919,2016/8/1 9:56
991,2016/8/1 9:57
5209,2016/8/1 9:58
6398,2016/8/1 9:59
211,2016/8/1 9:59
5328,2016/8/1 10:00
7463,2016/8/1 10:02
6633,2016/8/1 10:02
3539,2016/8/1 10:02
535,2016/8/1 10:03
5189,2016/8/1 10:05
7968,2016/8/1 10:05
3307,2016/8/1 10:05
3771,2016/8/1 10:05
1922,2016/8/1 10:06
3237,2016/8/1 10:07
7610,2016/8/1 10:09
5198,2016/8/1 10:11
4428,2016/8/1 10:12
8105,2016/8/1 10:13
7206,2016/8/1 10:13
425,2016/8/1 10:15
5197,2016/8/1 10:15
6058,2016/8/1 10:16
1176,2016/8/1 10:17
4951,2016/8/1 10:18
2447,2016/8/1 10:19
1674,2016/8/1 10:23
7642,2016/8/1 10:24
7088,2016/8/1 10:24
2859,2016/8/1 10:25
3866,2016/8/1 10:27
6045,2016/8/1 10:29
8029,2016/8/1 10:30
907,2016/8/1 10:30
3692,2016/8/1 10:31
6684,2016/8/1 10:32
5663,2016/8/1 10:33
4745,2016/8/1 10:35
1143,2016/8/1 10:39
3944,2016/8/1 10:40
8113,2016/8/1 10:40
7387,2016/8/1 10:42
4871,2016/8/1 10:43
6931,2016/8/1 10:44
7408,2016/8/1 10:45
3490,2016/8/1 10:47
7502,2016/8/1 10:47
4233,2016/8/1 10:51
1257,2016/8/1 10:52
376,2016/8/1 10:53
1773,2016/8/1 10:53
5752,2016/8/1 10:54
4807,2016/8/1 10:54
1879,2016/8/1 10:55
7212,2016/8/1 10:55
7413,2016/8/1 10:58
717,2016/8/1 11:00
6295,2016/8/1 11:06
8058,2016/8/1 11:07
3034,2016/8/1 11:07
3612,2016/8/1 11:07
6480,2016/8/1 11:09
7857,2016/8/1 11:10
6325,2016/8/1 11:12
3898,2016/8/1 11:16
7380,2016/8/1 11:17
5192,2016/8/1 11:19
3223,2016/8/1 11:19
1798,2016/8/1 11:21
3256,2016/8/1 11:22
1111,2016/8/1 11:23
5010,2016/8/1 11:24
1911,2016/8/1 11:24
2082,2016/8/1 11:25
5438,2016/8/1 11:26
5465,2016/8/1 11:26
2256,2016/8/1 11:26
1072,2016/8/1 11:27
6027,2016/8/1 11:27
909,2016/8/1 11:29
4457,2016/8/1 11:30
7472,2016/8/1 11:31
5313,2016/8/1 11:32
943,2016/8/1 11:34
2170,2016/8/1 11:36
7846,2016/8/1 11:37
7242,2016/8/1 11:37
1031,2016/8/1 11:41
6664,2016/8/1 11:42
4407,2016/8/1 11:47
5531,2016/8/1 11:50
5781,2016/8/1 11:52
6249,2016/8/1 11:54
7501,2016/8/1 11:54
6166,2016/8/1 11:54
95,2016/8/1 11:56
5660,2016/8/1 11:57
2960,2016/8/1 12:00
140,2016/8/1 12:01
2027,2016/8/1 12:04
965,2016/8/1 12:04
3823,2016/8/1 12:06
3246,2016/8/1 12:07
5988,2016/8/1 12:07
3482,2016/8/1 12:08
3985,2016/8/1 12:09
1207,2016/8/1 12:10
5937,2016/8/1 12:11
4032,2016/8/1 12:11
3451,2016/8/1 12:11
3112,2016/8/1 12:12
3258,2016/8/1 12:12
822,2016/8/1 12:13
3017,2016/8/1 12:13
7993,2016/8/1 12:15
6620,2016/8/1 12:17
6374,2016/8/1 12:17
2017,2016/8/1 12:18
65,2016/8/1 12:22
924,2016/8/1 12:22
7574,2016/8/1 12:23
5534,2016/8/1 12:23
5871,2016/8/1 12:23
4793,2016/8/1 12:24
6803,2016/8/1 12:29
6417,2016/8/1 12:29
4761,2016/8/1 12:32
7059,2016/8/1 12:32
5781,2016/8/1 12:33
6071,2016/8/1 12:34
3212,2016/8/1 12:36
1898,2016/8/1 12:36
6338,2016/8/1 12:36
5464,2016/8/1 12:43
7861,2016/8/1 12:45
7683,2016/8/1 12:47
4934,2016/8/1 12:47
5978,2016/8/1 12:48
3898,2016/8/1 12:48
2911,2016/8/1 12:49
5268,2016/8/1 12:50
7579,2016/8/1 12:50
5718,2016/8/1 12:50
6137,2016/8/1 12:51
5804,2016/8/1 12:51
6290,2016/8/1 12:55
7796,2016/8/1 12:57
2115,2016/8/1 12:57
7188,2016/8/1 12:57
7545,2016/8/1 12:58
3964,2016/8/1 13:00
6122,2016/8/1 13:00
4042,2016/8/1 13:01
7146,2016/8/1 13:02
2662,2016/8/1 13:03
8051,2016/8/1 13:03
4519,2016/8/1 13:03
7335,2016/8/1 13:05
2646,2016/8/1 13:05
6101,2016/8/1 13:05
7599,2016/8/1 13:07
7547,2016/8/1 13:07
2580,2016/8/1 13:08
5359,2016/8/1 13:08
7512,2016/8/1 13:09
4444,2016/8/1 13:10
7704,2016/8/1 13:11
1172,2016/8/1 13:12
1131,2016/8/1 13:13
2123,2016/8/1 13:13
6452,2016/8/1 13:14
3833,2016/8/1 13:14
1502,2016/8/1 13:14
4907,2016/8/1 13:14
5437,2016/8/1 13:15
3127,2016/8/1 13:15
4529,2016/8/1 13:15
6402,2016/8/1 13:16
7756,2016/8/1 13:17
1518,2016/8/1 13:17
7618,2016/8/1 13:20
5197,2016/8/1 13:20
8099,2016/8/1 13:21
1032,2016/8/1 13:23
4194,2016/8/1 13:26
2785,2016/8/1 13:26
7861,2016/8/1 13:29
6019,2016/8/1 13:29
5526,2016/8/1 13:29
5842,2016/8/1 13:31
1210,2016/8/1 13:31
1046,2016/8/1 13:31
5302,2016/8/1 13:33
7734,2016/8/1 13:34
4301,2016/8/1 13:34
6193,2016/8/1 13:34
7718,2016/8/1 13:37
5116,2016/8/1 13:37
7973,2016/8/1 13:37
5885,2016/8/1 13:38
5194,2016/8/1 13:39
1785,2016/8/1 13:39
1648,2016/8/1 13:40
7070,2016/8/1 13:42
593,2016/8/1 13:43
7838,2016/8/1 13:43
8000,2016/8/1 13:44
6866,2016/8/1 13:44
