UID,ST,BID
7863,2020/8/12 6:44,28647
9997,2020/8/12 6:51,171520
7823,2020/8/12 6:54,25562
10108,2020/8/12 6:58,61276
4388,2020/8/12 7:02,198049
3685,2020/8/12 7:06,106736
1662,2020/8/12 7:08,79220
9244,2020/8/12 7:13,150208
1533,2020/8/12 7:16,98737
5940,2020/8/12 7:18,179341
3585,2020/8/12 7:21,42146
2158,2020/8/12 7:23,153166
9610,2020/8/12 7:26,146117
4999,2020/8/12 7:29,75399
6887,2020/8/12 7:30,90898
8532,2020/8/12 7:33,109262
6410,2020/8/12 7:35,189979
7091,2020/8/12 7:37,119945
3215,2020/8/12 7:39,102325
9895,2020/8/12 7:40,130251
8291,2020/8/12 7:41,145402
10028,2020/8/12 7:45,103882
1142,2020/8/12 7:46,72067
1291,2020/8/12 7:48,198089
6784,2020/8/12 7:50,113839
7621,2020/8/12 7:53,185532
9005,2020/8/12 7:54,79586
8867,2020/8/12 7:55,9796
9263,2020/8/12 7:57,10743
11268,2020/8/12 7:58,155526
8721,2020/8/12 7:59,181269
3299,2020/8/12 8:00,96200
3175,2020/8/12 8:03,17656
1503,2020/8/12 8:03,63625
8187,2020/8/12 8:05,149451
10841,2020/8/12 8:07,153863
8584,2020/8/12 8:08,11117
7703,2020/8/12 8:08,71773
2772,2020/8/12 8:11,140372
7197,2020/8/12 8:12,160277
8460,2020/8/12 8:13,161283
9875,2020/8/12 8:14,11040
21,2020/8/12 8:16,24200
8352,2020/8/12 8:17,198437
5991,2020/8/12 8:18,50869
2559,2020/8/12 8:19,198481
9284,2020/8/12 8:21,183988
10166,2020/8/12 8:22,141381
4156,2020/8/12 8:24,15708
11432,2020/8/12 8:25,141142
1235,2020/8/12 8:27,155358
8997,2020/8/12 8:29,113482
5250,2020/8/12 8:32,192773
1375,2020/8/12 8:33,150927
8907,2020/8/12 8:34,66508
7165,2020/8/12 8:35,20798
10541,2020/8/12 8:36,167869
11695,2020/8/12 8:38,173248
11461,2020/8/12 8:39,110576
2718,2020/8/12 8:40,44982
10012,2020/8/12 8:42,168222
1515,2020/8/12 8:43,97023
10142,2020/8/12 8:45,69771
8068,2020/8/12 8:47,78331
4331,2020/8/12 8:50,168896
7713,2020/8/12 8:52,122228
9006,2020/8/12 8:54,125144
8247,2020/8/12 8:56,125366
3827,2020/8/12 8:58,96583
7796,2020/8/12 9:00,195624
4402,2020/8/12 9:02,106931
9528,2020/8/12 9:05,193854
10949,2020/8/12 9:06,96214
12569,2020/8/12 9:08,66399
11416,2020/8/12 9:11,68806
11600,2020/8/12 9:13,107027
7907,2020/8/12 9:17,57059
8087,2020/8/12 9:20,2469
9236,2020/8/12 9:21,14742
10455,2020/8/12 9:25,162096
10116,2020/8/12 9:28,132728
12485,2020/8/12 9:30,102758
9784,2020/8/12 9:33,3168
11763,2020/8/12 9:35,78751
5020,2020/8/12 9:38,195750
10735,2020/8/12 9:44,29282
3433,2020/8/12 9:49,199185
10352,2020/8/12 9:53,135965
9286,2020/8/12 9:56,28245
5076,2020/8/12 10:02,190257
3113,2020/8/12 10:05,76828
10508,2020/8/12 10:09,103743
12344,2020/8/12 10:12,18851
4344,2020/8/12 10:21,107697
11762,2020/8/12 10:28,10718
12205,2020/8/12 10:34,30316
8725,2020/8/12 10:38,86556
3119,2020/8/12 10:47,40290
2804,2020/8/12 10:49,168600
9739,2020/8/12 10:55,183626
1253,2020/8/12 10:59,148950
8638,2020/8/12 11:03,184329
6667,2020/8/12 11:07,164349
10525,2020/8/12 11:13,168014
9746,2020/8/12 11:18,21108
5724,2020/8/12 11:25,117434
7400,2020/8/12 11:29,188011
4366,2020/8/12 11:34,18427
1598,2020/8/12 11:38,9036
6959,2020/8/12 11:43,23572
12427,2020/8/12 11:48,199937
11195,2020/8/12 11:53,182236
5625,2020/8/12 11:57,72382
5510,2020/8/12 12:01,74108
10746,2020/8/12 12:04,136259
6506,2020/8/12 12:09,180359
1158,2020/8/12 12:10,199820
11766,2020/8/12 12:14,54320
3627,2020/8/12 12:18,45013
3122,2020/8/12 12:24,200243
11222,2020/8/12 12:27,83278
11647,2020/8/12 12:34,177319
4042,2020/8/12 12:38,38846
1078,2020/8/12 12:41,112787
5168,2020/8/12 12:45,61848
7667,2020/8/12 12:49,200442
3641,2020/8/12 12:55,70149
9409,2020/8/12 13:03,165707
9057,2020/8/12 13:06,29831
11495,2020/8/12 13:14,84758
1326,2020/8/12 13:16,197811
8902,2020/8/12 13:19,200185
129,2020/8/12 13:22,98836
4013,2020/8/12 13:27,159711
4253,2020/8/12 13:33,184232
5825,2020/8/12 13:37,62515
3669,2020/8/12 13:43,142780
2898,2020/8/12 13:48,86074
10179,2020/8/12 13:50,78909
8029,2020/8/12 13:54,33594
11817,2020/8/12 13:58,136794
5851,2020/8/12 14:06,36251
4159,2020/8/12 14:09,139900
11550,2020/8/12 14:13,200949
4235,2020/8/12 14:19,96171
10637,2020/8/12 14:24,87983
8842,2020/8/12 14:30,89396
6908,2020/8/12 14:35,84897
301,2020/8/12 14:40,31911
11100,2020/8/12 14:45,117408
3903,2020/8/12 14:49,8069
2808,2020/8/12 14:53,199545
10992,2020/8/12 14:58,51937
5588,2020/8/12 15:02,89821
2722,2020/8/12 15:06,105730
1637,2020/8/12 15:14,176820
9225,2020/8/12 15:18,152945
11282,2020/8/12 15:23,201265
5065,2020/8/12 15:27,100982
9619,2020/8/12 15:31,5083
6388,2020/8/12 15:39,192594
4209,2020/8/12 15:45,182534
8804,2020/8/12 15:49,189709
217,2020/8/12 15:53,182930
8119,2020/8/12 15:58,174783
4650,2020/8/12 16:04,146566
9604,2020/8/12 16:07,200332
7324,2020/8/12 16:10,187027
1936,2020/8/12 16:15,195976
4446,2020/8/12 16:19,43564
3836,2020/8/12 16:23,116647
12353,2020/8/12 16:28,13273
1721,2020/8/12 16:30,178375
8660,2020/8/12 16:32,199290
11736,2020/8/12 16:37,201426
12337,2020/8/12 16:39,201940
5255,2020/8/12 16:43,183914
6050,2020/8/12 16:46,109920
10394,2020/8/12 16:50,136816
10521,2020/8/12 16:52,202046
1258,2020/8/12 16:54,148341
6744,2020/8/12 16:56,147440
131,2020/8/12 16:58,42204
9089,2020/8/12 17:00,75951
3903,2020/8/12 17:02,149578
6447,2020/8/12 17:04,125069
3553,2020/8/12 17:06,108197
1119,2020/8/12 17:07,45294
7752,2020/8/12 17:08,157397
9509,2020/8/12 17:10,165829
6482,2020/8/12 17:11,52327
829,2020/8/12 17:13,50536
6317,2020/8/12 17:15,30757
10919,2020/8/12 17:17,189841
5770,2020/8/12 17:20,201120
125,2020/8/12 17:22,83520
4295,2020/8/12 17:25,118519
402,2020/8/12 17:26,117935
11013,2020/8/12 17:29,129476
7358,2020/8/12 17:31,185037
10750,2020/8/12 17:32,41321
1616,2020/8/12 17:33,170993
10651,2020/8/12 17:35,60736
10314,2020/8/12 17:36,191084
7559,2020/8/12 17:37,108722
4884,2020/8/12 17:38,194677
5011,2020/8/12 17:40,27777
4263,2020/8/12 17:43,194177
8314,2020/8/12 17:44,89937
7565,2020/8/12 17:45,31228
5189,2020/8/12 17:47,92051
9872,2020/8/12 17:48,185071
12097,2020/8/12 17:50,120387
2169,2020/8/12 17:51,6324
5435,2020/8/12 17:53,200724
2414,2020/8/12 17:54,2301
5416,2020/8/12 17:55,137838
8054,2020/8/12 17:57,199537
2819,2020/8/12 17:59,194792
11461,2020/8/12 18:00,140785
1263,2020/8/12 18:02,90368
9908,2020/8/12 18:04,49574
9217,2020/8/12 18:05,150486
7893,2020/8/12 18:07,135899
3212,2020/8/12 18:08,193890
1175,2020/8/12 18:09,117790
4605,2020/8/12 18:10,39158
9232,2020/8/12 18:10,144140
9978,2020/8/12 18:11,149626
7045,2020/8/12 18:12,172735
83,2020/8/12 18:13,143199
7425,2020/8/12 18:13,182315
2203,2020/8/12 18:14,194196
91,2020/8/12 18:16,123161
5101,2020/8/12 18:18,25747
6988,2020/8/12 18:18,113069
10500,2020/8/12 18:20,199852
2480,2020/8/12 18:21,101066
11755,2020/8/12 18:22,163671
2869,2020/8/12 18:23,175538
7955,2020/8/12 18:25,172544
6200,2020/8/12 18:26,84062
10302,2020/8/12 18:27,46373
1986,2020/8/12 18:29,88919
8881,2020/8/12 18:30,35003
3037,2020/8/12 18:33,196676
8398,2020/8/12 18:34,185562
10005,2020/8/12 18:35,127399
4333,2020/8/12 18:36,176092
7061,2020/8/12 18:37,203218
8158,2020/8/12 18:39,147903
4252,2020/8/12 18:40,198753
7930,2020/8/12 18:41,105399
9188,2020/8/12 18:42,171898
5405,2020/8/12 18:44,119495
11520,2020/8/12 18:44,102679
5632,2020/8/12 18:45,191917
5488,2020/8/12 18:46,69798
12007,2020/8/12 18:48,164912
4820,2020/8/12 18:49,80545
8965,2020/8/12 18:50,89338
149,2020/8/12 18:51,10693
6896,2020/8/12 18:53,185685
9290,2020/8/12 18:54,71305
7522,2020/8/12 18:56,185883
5215,2020/8/12 18:57,148320
645,2020/8/12 18:58,61934
1560,2020/8/12 18:59,153513
12105,2020/8/12 19:00,35975
3956,2020/8/12 19:02,158896
12146,2020/8/12 19:03,37900
7948,2020/8/12 19:05,178808
8586,2020/8/12 19:07,136585
8484,2020/8/12 19:08,130349
7300,2020/8/12 19:11,200939
2816,2020/8/12 19:12,29735
1800,2020/8/12 19:14,38750
7468,2020/8/12 19:15,7899
8106,2020/8/12 19:16,171449
10568,2020/8/12 19:17,125002
11476,2020/8/12 19:18,45109
5922,2020/8/12 19:20,104846
10266,2020/8/12 19:21,144843
10827,2020/8/12 19:23,48476
2403,2020/8/12 19:25,186033
9504,2020/8/12 19:27,191430
2793,2020/8/12 19:30,114312
5800,2020/8/12 19:32,203609
5338,2020/8/12 19:34,171981
11306,2020/8/12 19:36,186781
4568,2020/8/12 19:39,39751
2249,2020/8/12 19:40,183093
5644,2020/8/12 19:41,24467
11725,2020/8/12 19:43,164839
9638,2020/8/12 19:44,65959
3749,2020/8/12 19:47,47818
11170,2020/8/12 19:47,201628
3592,2020/8/12 19:50,75981
9474,2020/8/12 19:51,51913
2534,2020/8/12 19:52,201956
6405,2020/8/12 19:53,161495
5062,2020/8/12 19:54,76920
5510,2020/8/12 19:56,33834
11625,2020/8/12 19:57,99709
4970,2020/8/12 19:59,196991
5792,2020/8/12 20:00,140983
10916,2020/8/12 20:01,178862
8972,2020/8/12 20:03,198971
4342,2020/8/12 20:05,127588
12988,2020/8/12 20:07,103600
6663,2020/8/12 20:10,204301
8205,2020/8/12 20:12,149467
8983,2020/8/12 20:13,88236
7016,2020/8/12 20:14,195676
5580,2020/8/12 20:16,196097
7366,2020/8/12 20:20,24364
9159,2020/8/12 20:22,70490
12226,2020/8/12 20:24,196758
3943,2020/8/12 20:25,97189
830,2020/8/12 20:27,165683
3404,2020/8/12 20:29,25588
1439,2020/8/12 20:32,166759
10048,2020/8/12 20:34,190064
11835,2020/8/12 20:36,153694
4723,2020/8/12 20:37,69887
7175,2020/8/12 20:39,203144
3982,2020/8/12 20:41,3458
1465,2020/8/12 20:44,137128
5217,2020/8/12 20:46,82671
12467,2020/8/12 20:48,199029
6985,2020/8/12 20:50,201056
1666,2020/8/12 20:53,38130
10186,2020/8/12 20:56,204714
6081,2020/8/12 20:59,204757
4503,2020/8/12 21:01,147270
7316,2020/8/12 21:02,198294
6439,2020/8/12 21:05,104173
3044,2020/8/12 21:07,108978
7920,2020/8/12 21:09,103844
1015,2020/8/12 21:10,200570
7301,2020/8/12 21:12,50076
197,2020/8/12 21:13,164757
8353,2020/8/12 21:16,62800
10485,2020/8/12 21:19,31120
1183,2020/8/12 21:22,81426
8636,2020/8/12 21:24,203604
6444,2020/8/12 21:27,178565
12102,2020/8/12 21:30,170031
7889,2020/8/12 21:34,145370
9884,2020/8/12 21:35,140761
12210,2020/8/12 21:38,184055
1628,2020/8/12 21:41,46336
11296,2020/8/12 21:44,79063
1806,2020/8/12 21:47,202667
2447,2020/8/12 21:49,63076
12235,2020/8/12 21:50,13473
1933,2020/8/12 21:54,54983
11769,2020/8/12 21:56,96439
861,2020/8/12 21:59,169061
3018,2020/8/12 22:02,185218
12089,2020/8/12 22:06,190260
9584,2020/8/12 22:12,125045
1115,2020/8/12 22:14,204210
11472,2020/8/12 22:16,197044
12225,2020/8/12 22:18,133340
8907,2020/8/12 22:23,176867
580,2020/8/12 22:27,155717
11545,2020/8/12 22:28,190659
10684,2020/8/12 22:32,95357
9456,2020/8/12 22:34,115275
7151,2020/8/12 22:36,48416
2661,2020/8/12 22:39,79004
12228,2020/8/12 22:46,12410
1108,2020/8/12 22:53,73377
7041,2020/8/12 22:57,25955
9593,2020/8/12 23:02,188670
4504,2020/8/12 23:07,63297
8247,2020/8/12 23:11,187377
3936,2020/8/12 23:15,30339
4183,2020/8/12 23:21,77882
9163,2020/8/12 23:28,205961
11593,2020/8/12 23:42,3604
4472,2020/8/13 0:04,118981
4197,2020/8/13 0:15,118659
12537,2020/8/13 0:19,36497
12434,2020/8/13 0:34,205969
12080,2020/8/13 0:51,12475
12410,2020/8/13 1:03,86242
12490,2020/8/13 1:20,102091
12019,2020/8/13 1:52,149372
5430,2020/8/13 2:20,157719
10719,2020/8/13 2:56,63140
9332,2020/8/13 3:38,178630
8348,2020/8/13 4:04,124798
5315,2020/8/13 5:32,205213
3998,2020/8/13 6:01,48313
6971,2020/8/13 6:18,206690
11874,2020/8/13 6:29,192862
12370,2020/8/13 6:36,193144
5459,2020/8/13 6:54,203844
5652,2020/8/13 7:00,87247
5281,2020/8/13 7:09,206816
6648,2020/8/13 7:17,92302
10674,2020/8/13 7:22,171035
6625,2020/8/13 7:27,183442
11321,2020/8/13 7:32,150486
2032,2020/8/13 7:36,114915
4076,2020/8/13 7:42,77122
7274,2020/8/13 7:48,100819
4224,2020/8/13 7:52,126347
2450,2020/8/13 7:56,120483
7666,2020/8/13 8:02,80276
3998,2020/8/13 8:05,188532
6511,2020/8/13 8:10,168200
3365,2020/8/13 8:13,49517
5597,2020/8/13 8:16,194190
8919,2020/8/13 8:18,206384
7863,2020/8/13 8:21,102756
4934,2020/8/13 8:24,137492
9572,2020/8/13 8:27,13368
8479,2020/8/13 8:31,24267
6685,2020/8/13 8:33,40247
8748,2020/8/13 8:37,147412
4250,2020/8/13 8:39,107037
2954,2020/8/13 8:44,155840
5299,2020/8/13 8:47,120510
6643,2020/8/13 8:49,77617
7416,2020/8/13 8:53,207126
3884,2020/8/13 8:57,10487
9724,2020/8/13 9:00,207173
10500,2020/8/13 9:02,28065
11141,2020/8/13 9:05,54901
9196,2020/8/13 9:09,112216
9945,2020/8/13 9:11,207419
551,2020/8/13 9:13,51730
10808,2020/8/13 9:17,168080
5428,2020/8/13 9:21,128464
9693,2020/8/13 9:23,19634
6191,2020/8/13 9:27,91097
122,2020/8/13 9:32,136036
1654,2020/8/13 9:36,64773
1919,2020/8/13 9:39,171079
8639,2020/8/13 9:44,122948
7764,2020/8/13 9:47,112452
1183,2020/8/13 9:53,117184
4162,2020/8/13 9:55,123235
8826,2020/8/13 9:59,54797
9352,2020/8/13 10:04,164408
3857,2020/8/13 10:09,161284
5117,2020/8/13 10:12,160845
2213,2020/8/13 10:16,74897
12165,2020/8/13 10:20,15345
1699,2020/8/13 10:24,96171
10344,2020/8/13 10:25,148814
4862,2020/8/13 10:29,200845
13521,2020/8/13 10:34,103090
12391,2020/8/13 10:37,208079
12129,2020/8/13 10:39,177272
109,2020/8/13 10:42,115055
12749,2020/8/13 10:45,206868
8939,2020/8/13 10:49,198248
1099,2020/8/13 10:54,36517
6158,2020/8/13 11:00,206135
13090,2020/8/13 11:04,192088
6284,2020/8/13 11:11,38935
3046,2020/8/13 11:15,208395
8994,2020/8/13 11:20,171074
8256,2020/8/13 11:24,170183
6088,2020/8/13 11:29,31373
9241,2020/8/13 11:31,109699
7939,2020/8/13 11:33,160040
12221,2020/8/13 11:36,70870
2720,2020/8/13 11:39,135329
11807,2020/8/13 11:42,44541
1101,2020/8/13 11:47,205076
8607,2020/8/13 11:50,208573
4566,2020/8/13 11:53,114705
2965,2020/8/13 11:59,79840
8518,2020/8/13 12:04,192701
3956,2020/8/13 12:07,77242
6859,2020/8/13 12:10,67915
6490,2020/8/13 12:18,178153
4536,2020/8/13 12:22,147520
3446,2020/8/13 12:26,35884
3760,2020/8/13 12:30,109576
5363,2020/8/13 12:37,167843
4369,2020/8/13 12:38,29521
7703,2020/8/13 12:46,3336
5583,2020/8/13 12:50,23912
10153,2020/8/13 12:53,41337
3096,2020/8/13 12:56,209186
9319,2020/8/13 13:00,22434
10455,2020/8/13 13:03,39817
4478,2020/8/13 13:06,200445
3062,2020/8/13 13:09,91620
11860,2020/8/13 13:12,157975
12999,2020/8/13 13:17,201374
12007,2020/8/13 13:24,154169
5532,2020/8/13 13:29,117519
6396,2020/8/13 13:33,162635
12020,2020/8/13 13:38,99507
5684,2020/8/13 13:42,209392
11752,2020/8/13 13:45,197294
5593,2020/8/13 13:48,184601
3617,2020/8/13 13:51,114009
1000,2020/8/13 13:53,63686
12361,2020/8/13 13:57,9933
9578,2020/8/13 14:04,209679
8661,2020/8/13 14:07,4327
7722,2020/8/13 14:09,118722
11895,2020/8/13 14:15,23923
6596,2020/8/13 14:17,4425
857,2020/8/13 14:22,122880
2711,2020/8/13 14:26,22833
12184,2020/8/13 14:29,194379
11655,2020/8/13 14:32,72101
7542,2020/8/13 14:35,130428
209,2020/8/13 14:39,86851
8261,2020/8/13 14:42,5141
12099,2020/8/13 14:46,35269
10226,2020/8/13 14:49,44957
5012,2020/8/13 14:53,208804
5427,2020/8/13 14:55,16084
10997,2020/8/13 15:00,197866
9104,2020/8/13 15:03,144460
12096,2020/8/13 15:07,5562
11012,2020/8/13 15:11,38310
11535,2020/8/13 15:13,88827
7883,2020/8/13 15:16,87951
5208,2020/8/13 15:20,182930
2015,2020/8/13 15:23,80921
2995,2020/8/13 15:27,46488
7377,2020/8/13 15:33,79819
5359,2020/8/13 15:35,207864
12331,2020/8/13 15:38,158387
5606,2020/8/13 15:40,159605
8898,2020/8/13 15:45,21791
6022,2020/8/13 15:47,177236
3861,2020/8/13 15:50,135863
3047,2020/8/13 15:54,200547
11890,2020/8/13 15:56,163473
8700,2020/8/13 16:03,42054
3116,2020/8/13 16:07,101230
12229,2020/8/13 16:10,144629
1119,2020/8/13 16:11,169951
3026,2020/8/13 16:14,70386
8876,2020/8/13 16:17,152045
7079,2020/8/13 16:20,175032
107,2020/8/13 16:23,69054
5171,2020/8/13 16:28,124678
5436,2020/8/13 16:32,51109
11311,2020/8/13 16:35,159808
139,2020/8/13 16:36,179056
3434,2020/8/13 16:39,154322
8434,2020/8/13 16:41,210560
4820,2020/8/13 16:43,2397
11842,2020/8/13 16:47,117755
142,2020/8/13 16:52,172730
990,2020/8/13 16:53,122403
10056,2020/8/13 16:55,211053
8358,2020/8/13 16:58,162661
11917,2020/8/13 17:00,90300
4899,2020/8/13 17:02,190192
956,2020/8/13 17:05,169828
4845,2020/8/13 17:09,131833
1597,2020/8/13 17:11,122882
215,2020/8/13 17:12,76378
6382,2020/8/13 17:14,204709
6038,2020/8/13 17:16,211270
10892,2020/8/13 17:19,211274
8698,2020/8/13 17:21,192062
1714,2020/8/13 17:24,135916
12777,2020/8/13 17:26,134686
9987,2020/8/13 17:28,102003
12450,2020/8/13 17:31,51278
1101,2020/8/13 17:34,70244
9785,2020/8/13 17:35,205264
7250,2020/8/13 17:38,102138
9233,2020/8/13 17:40,188328
9571,2020/8/13 17:41,35528
9316,2020/8/13 17:44,68770
4830,2020/8/13 17:47,69954
5326,2020/8/13 17:48,210290
4780,2020/8/13 17:50,161569
5661,2020/8/13 17:52,164048
3307,2020/8/13 17:55,117609
839,2020/8/13 17:56,80874
7983,2020/8/13 17:56,114654
9173,2020/8/13 17:58,1468
1440,2020/8/13 18:00,202854
8398,2020/8/13 18:02,100705
7616,2020/8/13 18:05,202597
12180,2020/8/13 18:07,205755
4907,2020/8/13 18:08,17148
12817,2020/8/13 18:10,64999
9644,2020/8/13 18:11,75544
6254,2020/8/13 18:14,197825
3593,2020/8/13 18:16,212040
10590,2020/8/13 18:17,41842
10225,2020/8/13 18:19,49835
4758,2020/8/13 18:20,38943
6023,2020/8/13 18:22,30584
12484,2020/8/13 18:24,49848
6709,2020/8/13 18:28,212231
3228,2020/8/13 18:31,210488
11072,2020/8/13 18:32,30278
12486,2020/8/13 18:35,143577
2882,2020/8/13 18:36,198840
12228,2020/8/13 18:38,123338
7162,2020/8/13 18:41,115388
668,2020/8/13 18:42,119938
1989,2020/8/13 18:44,194442
4202,2020/8/13 18:48,212513
7453,2020/8/13 18:49,147903
9157,2020/8/13 18:51,38528
10850,2020/8/13 18:52,205648
2807,2020/8/13 18:54,58608
4396,2020/8/13 18:54,195489
10045,2020/8/13 18:55,210203
8573,2020/8/13 18:57,603
12364,2020/8/13 18:59,148718
5421,2020/8/13 19:03,135692
11537,2020/8/13 19:06,208272
64,2020/8/13 19:08,194487
12014,2020/8/13 19:09,212592
2403,2020/8/13 19:11,200176
10913,2020/8/13 19:12,61949
6820,2020/8/13 19:14,58573
2691,2020/8/13 19:17,162074
3248,2020/8/13 19:19,18825
6734,2020/8/13 19:21,174363
3051,2020/8/13 19:24,136852
11110,2020/8/13 19:26,189685
10756,2020/8/13 19:27,211559
954,2020/8/13 19:29,196122
11301,2020/8/13 19:30,176370
12770,2020/8/13 19:33,192160
8021,2020/8/13 19:35,192099
11200,2020/8/13 19:37,145541
5526,2020/8/13 19:40,1229
13367,2020/8/13 19:42,205405
2733,2020/8/13 19:44,212951
12273,2020/8/13 19:45,10972
4421,2020/8/13 19:46,112989
12444,2020/8/13 19:48,137940
10121,2020/8/13 19:49,64015
3422,2020/8/13 19:51,213271
6050,2020/8/13 19:53,157472
2014,2020/8/13 19:57,116680
7613,2020/8/13 19:59,171490
12350,2020/8/13 20:02,185801
7281,2020/8/13 20:07,169083
8164,2020/8/13 20:08,72969
13028,2020/8/13 20:10,124034
11754,2020/8/13 20:12,134186
2641,2020/8/13 20:15,188213
6495,2020/8/13 20:17,52116
610,2020/8/13 20:19,129525
8073,2020/8/13 20:21,213474
12167,2020/8/13 20:22,40597
13365,2020/8/13 20:24,133717
7749,2020/8/13 20:25,173267
4278,2020/8/13 20:27,181215
2250,2020/8/13 20:28,90984
12769,2020/8/13 20:31,184978
5139,2020/8/13 20:33,114541
2812,2020/8/13 20:36,127080
1605,2020/8/13 20:38,162296
2905,2020/8/13 20:40,26606
11487,2020/8/13 20:43,109981
8749,2020/8/13 20:44,161985
8992,2020/8/13 20:47,74310
6523,2020/8/13 20:49,163766
2889,2020/8/13 20:51,203092
73,2020/8/13 20:53,201326
12378,2020/8/13 20:55,94839
3795,2020/8/13 20:57,203336
3971,2020/8/13 20:59,139463
8424,2020/8/13 21:01,38813
8383,2020/8/13 21:03,202440
12601,2020/8/13 21:04,106967
7730,2020/8/13 21:08,23791
3166,2020/8/13 21:10,162730
2046,2020/8/13 21:12,136755
7024,2020/8/13 21:14,213765
10163,2020/8/13 21:15,78334
6370,2020/8/13 21:17,56645
5230,2020/8/13 21:19,134164
11074,2020/8/13 21:22,89048
11396,2020/8/13 21:25,202651
11204,2020/8/13 21:27,10534
7550,2020/8/13 21:31,46987
4516,2020/8/13 21:35,70830
6971,2020/8/13 21:38,214447
4406,2020/8/13 21:41,92141
9683,2020/8/13 21:43,212300
8545,2020/8/13 21:46,210873
12748,2020/8/13 21:50,57115
11622,2020/8/13 21:52,144356
8844,2020/8/13 21:55,191521
7284,2020/8/13 21:56,90140
9738,2020/8/13 21:59,145601
3414,2020/8/13 22:02,186978
12549,2020/8/13 22:04,154053
3613,2020/8/13 22:06,214499
10889,2020/8/13 22:08,8747
11410,2020/8/13 22:11,103334
6332,2020/8/13 22:14,129184
5934,2020/8/13 22:17,188518
9361,2020/8/13 22:20,200995
8530,2020/8/13 22:22,167310
11453,2020/8/13 22:24,3699
11717,2020/8/13 22:27,120893
2167,2020/8/13 22:29,198663
2461,2020/8/13 22:31,69894
7895,2020/8/13 22:37,204877
8081,2020/8/13 22:41,167852
3084,2020/8/13 22:43,92494
12187,2020/8/13 22:49,181182
5602,2020/8/13 22:53,134080
12467,2020/8/13 23:02,215297
9107,2020/8/13 23:06,70545
4582,2020/8/13 23:10,197301
2129,2020/8/13 23:13,154040
11924,2020/8/13 23:15,147412
8543,2020/8/13 23:20,215418
5859,2020/8/13 23:25,185918
9238,2020/8/13 23:34,67833
10970,2020/8/13 23:39,180334
5642,2020/8/13 23:46,63278
9600,2020/8/13 23:55,4140
6881,2020/8/14 0:01,169992
7023,2020/8/14 0:14,215720
2233,2020/8/14 0:22,144822
7254,2020/8/14 0:33,181574
10083,2020/8/14 0:47,1255
4871,2020/8/14 1:03,5010
6864,2020/8/14 1:09,215971
2785,2020/8/14 1:24,145589
2546,2020/8/14 1:37,59794
5705,2020/8/14 1:56,108694
10996,2020/8/14 2:12,152179
12200,2020/8/14 2:36,206596
3733,2020/8/14 3:45,104689
11075,2020/8/14 5:06,206598
5546,2020/8/14 5:55,176080
9936,2020/8/14 6:25,179025
2127,2020/8/14 6:35,298
4198,2020/8/14 6:47,135872
1516,2020/8/14 6:56,158798
3583,2020/8/14 7:06,56262
10764,2020/8/14 7:13,197941
4180,2020/8/14 7:16,51461
3998,2020/8/14 7:26,143082
9641,2020/8/14 7:31,114039
12302,2020/8/14 7:36,67202
11696,2020/8/14 7:47,179131
8296,2020/8/14 7:52,27700
12997,2020/8/14 8:00,27590
6621,2020/8/14 8:07,154395
12397,2020/8/14 8:13,22346
5181,2020/8/14 8:19,189324
3026,2020/8/14 8:22,2503
1985,2020/8/14 8:28,140589
8197,2020/8/14 8:30,7419
11417,2020/8/14 8:35,170070
11912,2020/8/14 8:38,205633
3181,2020/8/14 8:40,139450
12976,2020/8/14 8:45,216299
2425,2020/8/14 8:47,162112
12424,2020/8/14 8:53,216692
5315,2020/8/14 8:58,143480
12555,2020/8/14 9:01,59158
12215,2020/8/14 9:04,1421
1039,2020/8/14 9:07,129111
12006,2020/8/14 9:11,140076
3203,2020/8/14 9:14,112970
10506,2020/8/14 9:16,216917
7709,2020/8/14 9:19,183671
12349,2020/8/14 9:22,216551
11532,2020/8/14 9:26,85903
8724,2020/8/14 9:32,152669
1318,2020/8/14 9:35,208033
11944,2020/8/14 9:42,213263
4217,2020/8/14 9:44,217052
8256,2020/8/14 9:50,136508
5628,2020/8/14 9:54,211308
1348,2020/8/14 9:57,44288
13137,2020/8/14 9:59,160065
11328,2020/8/14 10:02,88294
10303,2020/8/14 10:08,109573
9824,2020/8/14 10:11,47816
3900,2020/8/14 10:14,187159
4760,2020/8/14 10:19,212087
9651,2020/8/14 10:24,38234
8528,2020/8/14 10:28,37134
7970,2020/8/14 10:33,19981
12020,2020/8/14 10:38,117422
9539,2020/8/14 10:43,58651
2014,2020/8/14 10:48,202086
9740,2020/8/14 10:52,139452
9528,2020/8/14 10:54,58955
579,2020/8/14 10:58,204135
8630,2020/8/14 11:02,217324
6686,2020/8/14 11:06,206474
1987,2020/8/14 11:11,183807
3050,2020/8/14 11:14,207352
6526,2020/8/14 11:16,83019
9725,2020/8/14 11:17,148841
2135,2020/8/14 11:20,217739
13031,2020/8/14 11:27,216778
12856,2020/8/14 11:29,8525
3241,2020/8/14 11:32,166828
684,2020/8/14 11:39,121186
4109,2020/8/14 11:41,217165
10259,2020/8/14 11:46,132605
4530,2020/8/14 11:50,207552
1301,2020/8/14 11:54,90017
3729,2020/8/14 11:58,176433
9522,2020/8/14 12:02,83537
9076,2020/8/14 12:08,79063
2701,2020/8/14 12:10,184172
4111,2020/8/14 12:14,217310
13135,2020/8/14 12:18,116782
13387,2020/8/14 12:23,200018
