ID,EX,EY
630,121.476,31.305
631,121.524,31.193
632,121.526,31.309
633,121.49,31.248
634,121.35,31.136
635,121.522,31.261
636,121.442,31.187
637,121.463,31.203
638,121.454,31.214
639,121.429,31.21
640,121.472,31.192
641,121.518,31.275
642,121.436,31.224
643,121.46,31.22
644,121.47,31.21
645,121.396,31.229
646,121.544,31.293
647,121.535,31.26
648,121.412,31.124
649,121.402,31.234
650,121.48,31.274
651,121.538,31.264
652,121.446,31.182
653,121.464,31.193
654,121.507,31.308
655,121.326,31.299
656,121.395,31.26
657,121.434,31.211
658,121.397,31.166
659,121.486,31.213
660,121.484,31.199
661,121.437,31.16
662,121.41,31.196
663,121.429,31.209
664,121.486,31.236
665,121.382,31.283
666,121.454,31.232
667,121.48,31.225
668,121.448,31.216
669,121.54,31.298
670,121.541,31.285
671,121.599,31.213
672,121.51,31.188
673,121.454,31.271
674,121.539,31.279
675,121.475,31.3
676,121.413,31.23
677,121.382,31.152
678,121.504,31.21
679,121.516,31.309
680,121.44,31.242
681,121.474,31.215
682,121.484,31.276
683,121.481,31.306
684,121.428,31.269
685,121.546,31.297
686,121.407,31.274
687,121.431,31.162
688,121.43,31.192
689,121.411,31.272
690,121.49,31.322
691,121.382,31.176
692,121.386,31.176
693,121.525,31.267
694,121.431,31.166
695,121.455,31.245
696,121.49,31.234
697,121.435,31.238
698,121.529,31.333
699,121.351,31.23
700,121.572,31.249
701,121.483,31.222
702,121.448,31.33
703,121.543,31.261
704,121.541,31.324
705,121.431,31.189
706,121.451,31.194
707,121.367,31.281
708,121.483,31.223
709,121.459,31.272
710,121.363,31.255
711,121.49,31.28
712,121.42,31.176
713,121.508,31.257
714,121.449,31.293
715,121.397,31.17
716,121.49,31.246
717,121.512,31.306
718,121.387,31.208
719,121.437,31.179
720,121.473,31.225
721,121.479,31.311
722,121.416,31.283
723,121.492,31.308
724,121.504,31.32
725,121.475,31.199
726,121.404,31.225
727,121.481,31.226
728,121.437,31.142
729,121.477,31.267
730,121.434,31.171
731,121.428,31.231
732,121.538,31.291
733,121.431,31.323
734,121.415,31.218
735,121.402,31.214
736,121.412,31.227
737,121.469,31.226
738,121.444,31.311
739,121.452,31.111
740,121.432,31.304
741,121.482,31.245
742,121.465,31.285
743,121.421,31.201
744,121.401,31.292
745,121.479,31.221
746,121.519,31.228
747,121.491,31.264
749,121.534,31.305
750,121.475,31.3
751,121.419,31.212
752,121.49,31.262
753,121.483,31.243
754,121.478,31.225
755,121.484,31.208
756,121.422,31.186
757,121.545,31.313
758,121.447,31.227
759,121.397,31.26
760,121.504,31.296
761,121.316,31.194
762,121.402,31.157
763,121.477,31.256
764,121.393,31.275
765,121.527,31.211
766,121.314,31.269
767,121.535,31.293
768,121.376,31.279
769,121.504,31.296
770,121.505,31.262
771,121.411,31.231
772,121.488,31.223
773,121.442,31.186
774,121.407,31.25
775,121.378,31.109
776,121.513,31.275
777,121.53,31.309
778,121.48,31.258
779,121.466,31.266
780,121.541,31.259
781,121.508,31.206
782,121.492,31.229
783,121.403,31.209
784,121.483,31.291
785,121.526,31.331
786,121.477,31.231
787,121.441,31.185
788,121.361,31.252
789,121.488,31.235
790,121.459,31.205
792,121.47,31.416
793,121.496,31.29
794,121.478,31.23
795,121.407,31.206
796,121.396,31.17
797,121.485,31.252
798,121.37,31.175
799,121.411,31.302
800,121.456,31.275
801,121.452,31.326
802,121.485,31.234
803,121.439,31.218
804,121.45,31.221
805,121.488,31.203
806,121.426,31.182
807,121.421,31.206
808,121.494,31.312
809,121.506,31.28
810,121.415,31.176
811,121.487,31.298
812,121.46,31.203
813,121.49,31.204
814,121.465,31.286
815,121.461,31.208
816,121.424,31.156
817,121.441,31.195
818,121.365,31.239
819,121.412,31.299
820,121.39,31.24
821,121.468,31.269
822,121.401,31.211
823,121.39,31.269
824,121.442,31.22
825,121.407,31.206
826,121.521,31.309
827,121.346,31.289
828,121.485,31.253
829,121.534,31.299
830,121.456,31.259
831,121.469,31.253
832,121.478,31.27
833,121.423,31.187
834,121.482,31.212
835,121.434,31.19
836,121.423,31.205
837,121.494,31.216
838,121.507,31.329
839,121.475,31.235
840,121.4,31.281
841,121.525,31.308
842,121.398,31.171
843,121.431,31.219
844,121.552,31.224
845,121.495,31.278
846,121.493,31.245
847,121.452,31.195
848,121.427,31.291
849,121.508,31.292
850,121.418,31.247
851,121.381,31.181
852,121.43,31.224
853,121.453,31.238
854,121.476,31.238
855,121.426,31.154
856,121.425,31.348
857,121.426,31.257
858,121.434,31.191
859,121.421,31.284
860,121.462,31.193
861,121.501,31.261
862,121.408,31.217
863,121.453,31.232
864,121.452,31.183
865,121.418,31.216
866,121.515,31.21
867,121.503,31.319
868,121.424,31.179
869,121.458,31.186
870,121.421,31.239
871,121.418,31.253
872,121.377,31.271
873,121.416,31.18
874,121.482,31.29
875,121.519,31.275
876,121.479,31.203
877,121.428,31.277
878,121.486,31.201
879,121.413,31.17
880,121.477,31.291
881,121.464,31.182
882,121.42,31.254
883,121.417,31.218
884,121.528,31.211
885,121.516,31.297
886,121.531,31.275
887,121.489,31.334
888,121.466,31.318
889,121.362,31.201
890,121.48,31.302
891,121.467,31.205
892,121.517,31.193
893,121.42,31.235
894,121.437,31.181
895,121.433,31.202
896,121.483,31.29
897,121.458,31.259
898,121.392,31.236
899,121.437,31.208
900,121.387,31.241
901,121.442,31.23
